Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,20,VAN,NBA,PF,80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,NA,1.7,1.2,2.9,0.049,NA,0.3,-2.1,-1.8,0.2
1997-98,21,VAN,NBA,SF,82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,NA,6.3,0.6,6.9,0.113,NA,3.4,-1.8,1.6,2.6
1998-99,22,VAN,NBA,SF,50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,NA,3.7,0.9,4.6,0.108,NA,2.9,-0.9,2,2.1
1999-00,23,VAN,NBA,SF,82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,NA,6.2,2.6,8.8,0.132,NA,2.6,-0.4,2.2,3.4
2000-01,24,VAN,NBA,SF,81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,NA,5.6,2.9,8.5,0.126,NA,1.7,0.1,1.8,3.1
2001-02,25,ATL,NBA,PF,77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,NA,4.1,3.1,7.2,0.116,NA,1.9,-0.2,1.7,2.8
2002-03,26,ATL,NBA,PF,81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,NA,7.4,2.3,9.7,0.151,NA,2.3,-0.7,1.6,2.8
2003-04,27,TOT,NBA,PF,85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,NA,6.1,2,8.1,0.145,NA,2.3,-0.7,1.6,2.4
2003-04,27,ATL,NBA,PF,53,1956,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,NA,5.3,1.3,6.6,0.163,NA,3.3,-1,2.3,2.1
2003-04,27,POR,NBA,PF,32,728,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,NA,0.9,0.6,1.5,0.098,NA,-0.4,0,-0.4,0.3
2004-05,28,POR,NBA,PF,54,1867,18.7,0.581,0.058,0.379,7.9,16,12.1,10.7,1.4,1,13,22.1,NA,3.9,1.5,5.4,0.139,NA,1.6,-0.6,0.9,1.4
2005-06,29,SAC,NBA,PF,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,NA,4,2.2,6.2,0.152,NA,0.5,0.4,0.9,1.4
2006-07,30,SAC,NBA,C,80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,NA,1.1,1.7,2.8,0.067,NA,-2,-0.5,-2.5,-0.2
2007-08,31,SAC,NBA,PF,6,51,5.5,0.317,0,0.286,14.2,9.1,11.6,11.1,1,0,6,14.7,NA,0,0,0,-0.005,NA,-4.4,-2.5,-6.9,-0.1
Career,NA,,NBA,,830,28882,19,0.549,0.045,0.429,7.5,17.5,12.5,13.6,1.5,1.6,13.5,25,NA,50.1,21.1,71.2,0.118,NA,1.7,-0.7,1,21.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,VAN,NBA,,375,14237,19.7,0.542,0.046,0.446,7.7,17.4,12.6,14.4,1.5,1.9,13.8,26.7,NA,23.4,8.3,31.7,0.107,NA,2.2,-1,1.2,11.4
3 seasons,NA,ATL,NBA,,211,8023,20.2,0.555,0.047,0.428,7.4,18.9,13.3,14.3,1.5,1.3,13.2,25.4,NA,16.8,6.7,23.6,0.141,NA,2.4,-0.6,1.8,7.7
3 seasons,NA,SAC,NBA,,158,4027,15,0.553,0.032,0.397,6.8,15.5,11.1,11.2,1.3,1.5,12.8,19.7,NA,5.1,3.9,9,0.108,NA,-0.8,-0.1,-0.9,1.1
2 seasons,NA,POR,NBA,,86,2595,18,0.565,0.054,0.374,7.9,15.9,12,10.9,1.5,1.2,13.5,22.5,NA,4.8,2.1,6.9,0.128,NA,1,-0.5,0.5,1.7
