Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,22,TOR,NBA,PF,29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,NA,0.7,0.4,1.1,0.157,NA,-1,1,0.1,0.2
2013-14,23,TOT,NBA,SF,63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,NA,0.6,0.9,1.5,0.086,NA,-2.5,0.8,-1.7,0.1
2013-14,23,TOR,NBA,SF,7,61,17.2,0.542,0.357,0.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,NA,0.1,0.1,0.2,0.188,NA,1.2,3.7,5,0.1
2013-14,23,SAC,NBA,SF,56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16,9.8,NA,0.5,0.7,1.3,0.078,NA,-2.8,0.6,-2.2,0
2014-15,24,NYK,NBA,PF,68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,NA,1,0.7,1.7,0.063,NA,-2.1,-1,-3.1,-0.3
2015-16,25,SAC,NBA,PF,59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,NA,1.8,0.7,2.5,0.137,NA,-0.2,0.2,-0.1,0.4
2016-17,26,TOT,NBA,PF,38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.5,-0.6,-2.1,0
2016-17,26,DAL,NBA,PF,6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.3,-4.1,-14.3,-0.1
2016-17,26,BRK,NBA,PF,32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-0.6,-0.2,-0.9,0.1
2017-18,27,BRK,NBA,PF,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,NA,-0.1,1.1,1,0.036,NA,-2.6,0.1,-2.5,-0.2
2018-19,28,PHO,NBA,PF,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,NA,-0.1,0,-0.1,-0.022,NA,-7.6,-0.5,-8.1,-0.2
Career,NA,,NBA,,337,5392,11.2,0.553,0.398,0.294,6.3,18.1,12.1,6.1,1.3,2,12.9,13.9,NA,4.4,4.4,8.7,0.078,NA,-2,-0.1,-2,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SAC,NBA,,115,1662,12.3,0.587,0.173,0.331,8.8,17.2,12.9,4.4,1.4,2.3,12.3,11.6,NA,2.3,1.4,3.8,0.109,NA,-1.5,0.4,-1.1,0.4
2 seasons,NA,BRK,NBA,,102,1869,9.5,0.544,0.724,0.226,3.3,17.4,10.3,5.9,1.2,1.8,12.2,15,NA,0.5,1.6,2.1,0.054,NA,-2.1,0,-2,0
1 season,NA,NYK,NBA,,68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,NA,1,0.7,1.7,0.063,NA,-2.1,-1,-3.1,-0.3
2 seasons,NA,TOR,NBA,,36,403,16.1,0.618,0.079,0.517,10.2,17,13.5,5.9,2.2,3.6,14.8,14.7,NA,0.8,0.5,1.4,0.162,NA,-0.6,1.4,0.8,0.3
1 season,NA,PHO,NBA,,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,NA,-0.1,0,-0.1,-0.022,NA,-7.6,-0.5,-8.1,-0.2
1 season,NA,DAL,NBA,,6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.3,-4.1,-14.3,-0.1
