Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Quincy Acy,,2.5,1.7,1.5,1.1,1,0.9,-0.1,NA,NA
Jeremy Evans,85.2,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA
Wesley Johnson,79.7,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0,0
Marty Conlon,78.8,3.1,1.8,1.4,1,0.8,0.6,0.3,0,-0.1
Mark Madsen,77.1,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Mark Acres,77.0,2.5,2.2,1.9,1.6,0.9,0.3,NA,NA,NA
Richard Anderson,76.7,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA
Marc Iavaroni,76.6,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA
Jarvis Hayes,76.4,2.9,2.1,1.7,1.5,0.8,0.7,0.5,NA,NA
Justin Holiday,76.4,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA,NA
Charles Shackleford,76.2,2.7,1.5,0.9,0.8,0.8,0.7,NA,NA,NA
