Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SDR,NBA,PG,77,NA,1448,4.4,11.2,0.394,3.3,5.1,0.642,NA,NA,5.4,5.9,NA,NA,3.9,12.1
1969-70,23,SDR,NBA,PG,35,NA,717,4.8,12.4,0.389,3.4,4.6,0.747,NA,NA,4.1,5.7,NA,NA,4.5,13.1
1970-71,24,POR,NBA,PG,81,NA,2303,5.9,14,0.422,4.2,5.8,0.724,NA,NA,4.4,5.9,NA,NA,3.3,16
1971-72,25,POR,NBA,PG,80,NA,2445,4.8,11.1,0.437,2.2,3,0.751,NA,NA,3.4,6.1,NA,NA,3.1,11.9
1972-73,26,POR,NBA,PG,76,NA,1822,4.2,10.4,0.408,1.4,2,0.716,NA,NA,3.1,5.8,NA,NA,3.1,9.9
1973-74,27,CHI,NBA,PG,55,NA,618,3.7,9.9,0.376,3.1,4.4,0.711,0.9,3.1,4,3.3,2.1,0.1,3.7,10.6
1974-75,28,TOT,NBA,PG,58,NA,1074,4.1,9.8,0.423,2.4,3.5,0.709,0.8,2.3,3.2,3.8,2.3,0.3,3.4,10.7
1974-75,28,CHI,NBA,PG,12,NA,340,4.6,11,0.413,3,4.1,0.718,0.6,2.1,2.8,3.7,1.7,0.1,3.3,12.1
1974-75,28,NOJ,NBA,PG,28,NA,613,3.9,9.3,0.421,2.4,3.5,0.695,0.8,2.5,3.2,4.1,2.8,0.4,3.4,10.3
1974-75,28,KCO,NBA,PG,18,NA,121,3.9,8.3,0.464,1.2,1.5,0.8,1.8,2.4,4.2,2.4,2.1,0.3,3.6,8.9
Career,NA,,NBA,,462,NA,10427,4.8,11.5,0.415,2.8,4,0.713,0.9,2.6,3.9,5.5,2.3,0.2,3.4,12.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,237,NA,6570,5,11.9,0.424,2.7,3.7,0.731,NA,NA,3.7,6,NA,NA,3.2,12.8
2 seasons,NA,SDR,NBA,,112,NA,2165,4.5,11.6,0.392,3.3,4.9,0.675,NA,NA,4.9,5.8,NA,NA,4.1,12.4
2 seasons,NA,CHI,NBA,,67,NA,958,4,10.3,0.391,3.1,4.3,0.713,0.8,2.7,3.6,3.4,2,0.1,3.5,11.1
1 season,NA,NOJ,NBA,,28,NA,613,3.9,9.3,0.421,2.4,3.5,0.695,0.8,2.5,3.2,4.1,2.8,0.4,3.4,10.3
1 season,NA,KCO,NBA,,18,NA,121,3.9,8.3,0.464,1.2,1.5,0.8,1.8,2.4,4.2,2.4,2.1,0.3,3.6,8.9
