Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2010-11,22,OKC,NBA,C,18,0,142,2.9,5.5,0.533,0,0,NA,2.9,5.5,0.533,0.7,1.5,0.5,4.7,8,12.8,1.5,1.8,2.6,2.9,10.9,6.6,NA,98,104
2011-12,23,OKC,NBA,C,26,0,173,6.6,12.5,0.524,0,0,NA,6.6,12.5,0.524,3.9,4.2,0.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17,NA,113,96
2012-13,24,TOT,NBA,C,45,0,388,5.7,10.4,0.55,0,0,NA,5.7,10.4,0.55,1.6,2.6,0.6,3.9,11.7,15.6,1.2,0.7,3,3,7.8,13,NA,102,105
2012-13,24,HOU,NBA,C,30,0,213,5.4,10.1,0.535,0,0,NA,5.4,10.1,0.535,0.9,2.1,0.444,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,NA,92,105
2012-13,24,SAC,NBA,C,15,0,175,6.2,10.8,0.568,0,0,NA,6.2,10.8,0.568,2.3,3.2,0.727,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,NA,112,106
2013-14,25,NYK,NBA,C,46,2,330,5.3,9.8,0.541,0,0,NA,5.3,9.8,0.541,4.2,4.8,0.867,6,14.8,20.8,2.3,1.3,4.8,2.9,6.4,14.8,NA,120,100
2014-15,26,NYK,NBA,C,61,16,976,7.8,16.2,0.478,0,0,NA,7.8,16.2,0.478,2.7,3.5,0.781,5.4,12.8,18.2,4,2,3.5,3.2,6.6,18.2,NA,104,102
2015-16,27,LAC,NBA,C,60,5,800,8.4,14.1,0.596,0,0,NA,8.4,14.1,0.596,3.8,5.3,0.714,5.4,12.7,18,3.1,2.9,4.3,4,8.7,20.5,NA,113,94
2016-17,28,MIN,NBA,C,62,0,531,4.3,8.2,0.523,0,0,NA,4.3,8.2,0.523,1.4,2.1,0.682,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10,NA,118,107
2017-18,29,MIN,NBA,C,21,0,49,5.1,15.3,0.333,0,0,NA,5.1,15.3,0.333,2,6.1,0.333,3.1,12.2,15.3,3.1,2,1,1,11.2,12.2,NA,85,107
Career,NA,,NBA,,339,23,3389,6.6,12.5,0.527,0,0,NA,6.6,12.5,0.527,2.7,3.7,0.738,5.1,12.1,17.2,2.8,2.1,3.5,3,7.7,15.9,NA,109,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,107,18,1306,7.2,14.6,0.489,0,0,NA,7.2,14.6,0.489,3.1,3.8,0.809,5.6,13.3,18.9,3.6,1.8,3.8,3.1,6.5,17.4,NA,107,102
2 seasons,NA,MIN,NBA,,83,0,580,4.4,8.8,0.495,0,0,NA,4.4,8.8,0.495,1.5,2.4,0.607,4.7,10.4,15.1,2.4,2.4,2.1,1.6,8.4,10.2,NA,114,107
1 season,NA,LAC,NBA,,60,5,800,8.4,14.1,0.596,0,0,NA,8.4,14.1,0.596,3.8,5.3,0.714,5.4,12.7,18,3.1,2.9,4.3,4,8.7,20.5,NA,113,94
2 seasons,NA,OKC,NBA,,44,0,315,4.9,9.4,0.526,0,0,NA,4.9,9.4,0.526,2.5,3,0.833,4.3,9.4,13.6,1.1,2.1,3.8,2.8,8.5,12.3,NA,108,100
1 season,NA,HOU,NBA,,30,0,213,5.4,10.1,0.535,0,0,NA,5.4,10.1,0.535,0.9,2.1,0.444,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,NA,92,105
1 season,NA,SAC,NBA,,15,0,175,6.2,10.8,0.568,0,0,NA,6.2,10.8,0.568,2.3,3.2,0.727,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,NA,112,106
