Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,MIL,NBA,PG,72,NA,2388,10,20.3,0.495,4.1,5.2,0.788,1.7,3.9,5.6,7.1,2.6,0.4,NA,4.1,24.2,NA,NA,95
1974-75,27,TOT,NBA,PG,66,NA,2353,9.9,22.6,0.437,4.6,5.9,0.778,1.7,3.6,5.4,7.2,2.6,0.6,NA,4.2,24.3,NA,NA,100
1974-75,27,MIL,NBA,PG,10,NA,342,9.3,22.5,0.415,4.3,5.1,0.838,1.2,3,4.3,7.3,1.9,0.1,NA,3.2,23,NA,NA,100
1974-75,27,LAL,NBA,PG,56,NA,2011,9.9,22.6,0.44,4.6,6,0.77,1.8,3.7,5.5,7.2,2.7,0.6,NA,4.4,24.5,NA,NA,100
1975-76,28,LAL,NBA,PG,76,NA,2388,8.6,18.7,0.459,3.7,4.7,0.776,1.2,2.8,4,6.6,1.9,0.4,NA,4.5,20.8,NA,NA,101
1976-77,29,LAL,NBA,PG,78,NA,2482,8.7,19.1,0.456,3.6,4.7,0.774,1.1,3.6,4.6,7.5,2.1,0.4,NA,3.4,21,NA,NA,101
1977-78,30,KCK,NBA,PG,77,NA,2147,7.7,17.5,0.441,3.6,4.5,0.791,1.4,3.4,4.7,7.4,1.9,0.6,4.5,3.7,19,NA,95,104
1978-79,31,KCK,NBA,PG,31,NA,413,7.5,18.9,0.397,2.1,3.6,0.576,1.5,3.5,5,4.8,2.3,0.7,3.3,5.6,17,NA,87,103
Career,NA,,NBA,,400,NA,12171,8.9,19.6,0.463,3.9,5,0.76,1.4,3.4,4.9,7.1,2.2,0.5,0.9,4,21.7,NA,94,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,210,NA,6881,9,20,0.452,3.9,5.1,0.773,1.3,3.3,4.7,7.1,2.2,0.4,NA,4.1,22,NA,NA,101
2 seasons,NA,KCK,NBA,,108,NA,2560,7.7,17.7,0.433,3.4,4.4,0.763,1.4,3.4,4.8,7,2,0.6,4.3,4,18.7,NA,94,104
5 seasons,NA,MIL,NBA,,82,NA,2730,10,20.5,0.485,4.1,5.2,0.756,1.6,3.8,5.4,7.2,2.5,0.4,NA,4,24,NA,NA,95
1 season,NA,SEA,NBA,,0,NA,0,NA,NA,0.442,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
