Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1995-96,25,CLE,NBA,PF,28,3,357,4.7,11.4,0.414,0,0,NA,4.7,11.4,0.414,3.1,5.4,0.576,2.1,6.4,8.5,1.5,1,1.8,5.6,8,12.6,NA,74,108
1999-00,29,ORL,NBA,C,80,53,1684,9,20.5,0.437,0,0.2,0.167,8.9,20.3,0.439,6.5,8.5,0.766,1.8,6,7.8,2.8,1,1.1,4.1,4.7,24.5,NA,98,104
2000-01,30,ORL,NBA,C,82,36,1710,7.1,17.8,0.4,0,0.2,0,7.1,17.6,0.405,5.3,8.4,0.631,2.3,5.8,8.1,2.2,0.8,0.9,3.7,5.3,19.6,NA,89,105
2001-02,31,UTA,NBA,PF,54,0,586,4.9,15.1,0.325,0,0,NA,4.9,15.1,0.325,6.1,9.5,0.638,4.7,5.2,9.9,2.6,0.6,0.9,5,5.8,15.9,NA,83,109
2002-03,32,UTA,NBA,C,50,1,474,4.2,13.4,0.314,0,0,NA,4.2,13.4,0.314,2.8,5.9,0.481,2.9,5.8,8.7,2.4,1.6,0.8,3.9,5.7,11.2,NA,73,105
Career,NA,,NBA,,294,93,4811,7.1,17.6,0.403,0,0.1,0.077,7.1,17.5,0.405,5.5,8.1,0.671,2.5,5.8,8.3,2.4,1,1,4.1,5.3,19.7,NA,90,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ORL,NBA,,162,89,3394,8.1,19.2,0.42,0,0.2,0.077,8,19,0.424,5.9,8.5,0.7,2.1,5.9,7.9,2.5,0.9,1,3.9,5,22.1,NA,94,104
2 seasons,NA,UTA,NBA,,104,1,1060,4.6,14.3,0.32,0,0,NA,4.6,14.3,0.32,4.6,7.9,0.586,3.9,5.4,9.4,2.5,1.1,0.9,4.5,5.7,13.8,NA,79,107
1 season,NA,CLE,NBA,,28,3,357,4.7,11.4,0.414,0,0,NA,4.7,11.4,0.414,3.1,5.4,0.576,2.1,6.4,8.5,1.5,1,1.8,5.6,8,12.6,NA,74,108
