Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,21,SAS,NBA,SF,33,8,358,3.1,8.9,0.348,0.3,1.1,0.273,2.8,7.8,0.359,0.9,1.4,0.643,0.5,6.7,7.2,2.8,1.5,0.7,1,2.8,7.4
2015-16,22,SAS,NBA,SF,78,11,1245,4,8.5,0.468,0.3,1.1,0.324,3.6,7.5,0.488,1.8,2.4,0.747,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1
2016-17,23,SAS,NBA,SF,72,14,1020,3.3,7.4,0.445,0.5,1.4,0.375,2.8,6,0.462,1.6,2,0.789,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7
2017-18,24,SAS,NBA,SF,74,67,1978,4.2,8,0.527,0.3,1,0.333,3.9,6.9,0.556,1.9,2.7,0.712,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6
2018-19,25,MEM,NBA,SF,43,40,1281,4.2,7.8,0.543,0.3,1,0.265,4,6.8,0.583,1,1.8,0.578,1.3,5.7,7.1,3.6,1.5,1,1.6,3.1,9.7
2019-20,26,MEM,NBA,PF,59,20,1140,4.4,8.8,0.493,0.5,2,0.258,3.9,6.9,0.56,1.4,2.1,0.652,1.7,6.4,8.1,4.2,1.5,1,1.7,2.7,10.6
Career,NA,,NBA,,359,160,7022,4,8.1,0.492,0.4,1.2,0.307,3.6,6.9,0.525,1.5,2.2,0.698,1.3,6,7.3,3.6,1.7,1,1.6,2.6,9.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SAS,NBA,,257,100,4601,3.9,8.1,0.478,0.4,1.1,0.338,3.5,6.9,0.501,1.7,2.3,0.733,1.2,6,7.2,3.5,1.9,1,1.6,2.4,9.8
2 seasons,NA,MEM,NBA,,102,60,2421,4.3,8.3,0.518,0.4,1.4,0.26,3.9,6.8,0.572,1.2,1.9,0.615,1.5,6,7.6,3.9,1.5,1,1.7,2.9,10.1
