,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,21,ORL,NBA,PF,9,89,,,,100%,,-11.8,-25.2,3,1,6,0,1,0,7,1,2
2010-11,22,ORL,NBA,PF,6,147,,,,84%,16%,+6.8,+10.6,0,0,6,1,2,0,7,0,2
2011-12,23,ORL,NBA,PF,5,172,,,,74%,26%,-11.3,+5.0,3,1,6,4,4,3,11,1,5
2014-15,26,NOP,NBA,PF,4,95,,,,84%,16%,+2.9,+21.4,2,1,7,1,1,2,20,0,1
2016-17,28,HOU,NBA,PF,11,336,,,,81%,19%,-0.2,-5.0,1,5,10,2,8,1,17,0,2
2017-18,29,HOU,NBA,PF,11,95,,,,61%,39%,-28.2,-34.1,3,0,5,0,0,0,15,0,2
Career,,,NBA,,46,934,,,,80%,20%,-4.8,-2.9,12,8,40,8,16,6,77,2,14
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,22,431,,,,76%,24%,-6.4,-11.4,4,5,15,2,8,1,32,0,4
3 seasons,,ORL,NBA,,20,408,,,,83%,17%,-4.9,+0.4,6,2,18,5,7,3,25,2,9
1 season,,NOP,NBA,,4,95,,,,84%,16%,+2.9,+21.4,2,1,7,1,1,2,20,0,1
