Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,24,NYK,NBA,PG,82,1,1510,161,435,0.37,8,55,0.145,153,380,0.403,0.379,117,158,0.741,33,103,136,314,59,9,98,170,447
1992-93,25,NYK,NBA,PG,70,35,1699,174,419,0.415,4,30,0.133,170,389,0.437,0.42,107,159,0.673,42,128,170,398,113,12,104,141,459
1993-94,26,NYK,NBA,PG,80,36,1994,225,571,0.394,48,160,0.3,177,411,0.431,0.436,130,168,0.774,43,146,189,365,114,13,127,163,628
1994-95,27,NYK,NBA,PG,61,2,943,128,293,0.437,56,155,0.361,72,138,0.522,0.532,60,76,0.789,7,57,64,160,50,7,57,99,372
1995-96,28,VAN,NBA,PG,69,68,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967
1996-97,29,VAN,NBA,PG,65,44,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616
1997-98,30,SEA,NBA,PG,80,0,1021,150,349,0.43,66,159,0.415,84,190,0.442,0.524,53,80,0.663,18,93,111,205,64,3,91,97,419
1998-99,31,POR,NBA,PG,50,0,806,104,251,0.414,49,125,0.392,55,126,0.437,0.512,62,89,0.697,14,49,63,100,66,3,55,75,319
1999-00,32,POR,NBA,PG,82,3,1548,169,416,0.406,88,233,0.378,81,183,0.443,0.512,88,114,0.772,17,116,133,208,59,9,85,143,514
2000-01,33,POR,NBA,PG,58,0,856,97,253,0.383,65,159,0.409,32,94,0.34,0.512,23,35,0.657,21,40,61,82,40,3,43,63,282
2001-02,34,TOT,NBA,PG,60,38,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474
2001-02,34,CHI,NBA,PG,36,35,961,113,287,0.394,29,90,0.322,84,197,0.426,0.444,47,70,0.671,16,72,88,203,49,4,58,72,302
2001-02,34,MIL,NBA,PG,24,3,553,70,188,0.372,19,73,0.26,51,115,0.443,0.423,13,21,0.619,6,38,44,79,28,1,36,42,172
Career,NA,,NBA,,757,227,15850,1914,4750,0.403,610,1748,0.349,1304,3002,0.434,0.467,1059,1445,0.733,271,1146,1417,2997,887,79,1043,1324,5497
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,293,74,6146,688,1718,0.4,116,400,0.29,572,1318,0.434,0.434,414,561,0.738,125,434,559,1237,336,41,386,573,1906
3 seasons,NA,POR,NBA,,190,3,3210,370,920,0.402,202,517,0.391,168,403,0.417,0.512,173,238,0.727,52,205,257,390,165,15,183,281,1115
2 seasons,NA,VAN,NBA,,134,112,3959,523,1288,0.406,178,509,0.35,345,779,0.443,0.475,359,475,0.756,54,304,358,883,245,15,289,259,1583
1 season,NA,SEA,NBA,,80,0,1021,150,349,0.43,66,159,0.415,84,190,0.442,0.524,53,80,0.663,18,93,111,205,64,3,91,97,419
1 season,NA,CHI,NBA,,36,35,961,113,287,0.394,29,90,0.322,84,197,0.426,0.444,47,70,0.671,16,72,88,203,49,4,58,72,302
1 season,NA,MIL,NBA,,24,3,553,70,188,0.372,19,73,0.26,51,115,0.443,0.423,13,21,0.619,6,38,44,79,28,1,36,42,172
