,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2006-07,22,NOK,NBA,29:21,7,13,0,0,7,13,5,6,5,7,9,1,2,2,4,4,17,13.8
2007-08,23,NOH,NBA,32:05,5,8,0,0,5,8,4,5,5,6,7,2,1,3,5,6,11,9.2
2008-09,24,NOH,NBA,31:24,6,9,0,1,6,9,6,6,6,7,11,2,2,4,4,6,17,16.2
2009-10,25,TOT,NBA,23:02,4,7,0,1,4,7,4,6,3,5,6,3,3,2,2,6,12,13.6
2009-10,25,NOH,NBA,23:02,4,7,0,0,4,7,4,6,3,5,6,3,3,2,2,6,12,13.6
2009-10,25,SAC,NBA,12:11,2,3,0,0,2,3,2,2,2,3,4,1,1,1,2,3,4,4.3
2009-10,25,HOU,NBA,9:38,1,4,0,1,1,4,0,2,1,1,2,1,2,0,2,3,2,2.7
2010-11,26,TOT,NBA,28:51,5,8,1,1,5,8,4,4,5,8,13,2,2,2,2,5,10,11.6
2010-11,26,WAS,NBA,28:51,5,8,1,1,5,8,4,4,5,8,13,2,2,2,2,5,10,11.6
2010-11,26,ATL,NBA,14:35,2,4,1,1,2,4,1,4,1,3,4,2,2,2,2,2,4,4.2
2013-14,29,GSW,NBA,31:35,3,6,0,0,3,6,4,7,6,8,10,2,2,2,2,6,10,8.0
Career,,,,32:05,7,13,1,1,7,13,6,7,6,8,13,3,3,4,5,6,17,16.2
4 Seasons,,"NOH,NOK",NBA,32:05,7,13,0,1,7,13,6,6,6,7,11,3,3,4,5,6,17,16.2
1 Season,,WAS,NBA,28:51,5,8,1,1,5,8,4,4,5,8,13,2,2,2,2,5,10,11.6
1 Season,,GSW,NBA,31:35,3,6,0,0,3,6,4,7,6,8,10,2,2,2,2,6,10,8.0
1 Season,,ATL,NBA,14:35,2,4,1,1,2,4,1,4,1,3,4,2,2,2,2,2,4,4.2
1 Season,,HOU,NBA,9:38,1,4,0,1,1,4,0,2,1,1,2,1,2,0,2,3,2,2.7
1 Season,,SAC,NBA,12:11,2,3,0,0,2,3,2,2,2,3,4,1,1,1,2,3,4,4.3
