,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2003-04,21,PHO,NBA,PG,70,1500,88%,12%,,,,-3.6,+0.9,72,29,67,9,24,0,359,5,35
2004-05,22,PHO,NBA,PG,63,1087,98%,2%,,,,-1.3,-12.1,47,23,45,8,30,0,298,9,15
2005-06,23,PHO,NBA,SG,57,1592,6%,93%,1%,,,+3.1,-4.8,35,25,54,16,64,16,382,13,33
2006-07,24,PHO,NBA,SG,80,2613,33%,66%,,,,+9.3,+4.5,70,32,99,23,107,31,756,32,47
2007-08,25,PHO,NBA,SG,82,2421,35%,65%,,,,+3.3,-6.4,49,38,94,15,93,15,507,24,55
2008-09,26,PHO,NBA,SG,70,1705,37%,63%,,,,+0.3,-3.1,52,15,47,14,90,10,364,29,47
2009-10,27,PHO,NBA,PG,44,786,37%,63%,,,,+6.3,+1.1,13,19,33,11,31,4,157,8,20
2010-11,28,TOR,NBA,SG,58,1395,15%,84%,1%,,,-5.6,+2.0,40,25,44,13,61,8,262,15,40
2011-12,29,TOT,NBA,SG,64,1382,7%,93%,,,,-2.3,-2.7,38,29,48,21,48,9,227,13,36
2011-12,29,TOR,NBA,SG,42,946,10%,90%,,,,-3.9,-0.2,27,22,38,14,34,6,149,9,24
2011-12,29,IND,NBA,SG,22,436,,99%,1%,,,+1.0,-2.6,11,7,10,7,14,3,78,4,12
2012-13,30,BOS,NBA,PG,41,513,83%,16%,1%,,,-3.0,-2.9,14,3,18,3,17,3,125,5,13
2013-14,31,PHO,NBA,PG,20,368,47%,53%,,,,+6.3,+4.2,5,6,9,3,18,1,80,4,10
2014-15,32,GSW,NBA,SG,66,982,15%,83%,2%,,,+1.1,-12.9,22,15,38,3,28,6,232,4,16
2015-16,33,GSW,NBA,SG,68,1079,1%,85%,14%,,,+2.8,-11.3,22,21,35,9,31,7,191,6,20
2016-17,34,PHO,NBA,SG,67,963,3%,90%,7%,,,-3.0,+3.8,29,14,19,2,18,8,184,6,23
Career,,,NBA,,850,18386,34%,65%,2%,,,+1.5,-2.7,508,294,650,150,660,118,4124,173,410
,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,PHO,NBA,,553,13035,41%,58%,1%,,,+2.7,-1.7,372,201,467,101,475,85,3087,130,285
2 seasons,,GSW,NBA,,134,2061,8%,84%,8%,,,+2.0,-12.1,44,36,73,12,59,13,423,10,36
2 seasons,,TOR,NBA,,100,2341,13%,86%,1%,,,-4.9,+1.1,67,47,82,27,95,14,411,24,64
1 season,,BOS,NBA,,41,513,83%,16%,1%,,,-3.0,-2.9,14,3,18,3,17,3,125,5,13
1 season,,IND,NBA,,22,436,,99%,1%,,,+1.0,-2.6,11,7,10,7,14,3,78,4,12
