Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,BOS,NBA,SG,5,26,3,0.32,0.095,NA,NA,NA,5.4,NA,NA,NA,-0.1,0,-0.1,-0.227,NA,NA,NA,NA,NA
1968-69,24,SDR,NBA,SG,6,51,14.2,0.471,0.348,NA,NA,NA,20.3,NA,NA,NA,0.1,0,0,0.044,NA,NA,NA,NA,NA
1971-72,27,GSW,NBA,PG,5,197,16.1,0.495,0.451,NA,NA,4.6,21.2,NA,NA,NA,0.2,0.1,0.4,0.088,NA,NA,NA,NA,NA
1972-73,28,GSW,NBA,PG,11,336,13.1,0.45,0.184,NA,NA,5.5,17.5,NA,NA,NA,0,0.3,0.3,0.037,NA,NA,NA,NA,NA
1974-75,30,NYK,NBA,SG,3,59,20.7,0.668,0.238,9.7,5.3,7.4,16.2,0.8,0.9,NA,0.3,0,0.2,0.18,NA,3.3,-0.4,3,0.1
Career,NA,,NBA,,30,669,14.3,0.473,0.274,9.7,5.3,5.4,18.2,0.8,0.9,NA,0.4,0.4,0.8,0.055,NA,3.3,-0.4,3,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,16,533,14.2,0.468,0.286,NA,NA,5.2,18.8,NA,NA,NA,0.2,0.4,0.6,0.056,NA,NA,NA,NA,NA
1 season,NA,SDR,NBA,,6,51,14.2,0.471,0.348,NA,NA,NA,20.3,NA,NA,NA,0.1,0,0,0.044,NA,NA,NA,NA,NA
1 season,NA,BOS,NBA,,5,26,3,0.32,0.095,NA,NA,NA,5.4,NA,NA,NA,-0.1,0,-0.1,-0.227,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,3,59,20.7,0.668,0.238,9.7,5.3,7.4,16.2,0.8,0.9,NA,0.3,0,0.2,0.18,NA,3.3,-0.4,3,0.1
