Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24,STL,NBA,SG,11,NA,28.5,2.8,7,0.403,NA,NA,NA,2.8,7,0.403,0.403,1.4,2,0.682,NA,NA,2.5,3.3,NA,NA,2.5,7
1963-64,25,STL,NBA,SG,5,NA,12.2,2.4,4.6,0.522,NA,NA,NA,2.4,4.6,0.522,0.522,0.4,1,0.4,NA,NA,1,1,NA,NA,1.6,5.2
1964-65,26,STL,NBA,SG,4,NA,9,0.5,2.8,0.182,NA,NA,NA,0.5,2.8,0.182,0.182,0.5,1,0.5,NA,NA,1.8,0.5,NA,NA,0.8,1.5
1968-69,30,BAL,NBA,PG,1,NA,10,1,2,0.5,NA,NA,NA,1,2,0.5,0.5,0,0,NA,NA,NA,2,1,NA,NA,3,2
1969-70,31,INA,ABA,SG,14,NA,22.6,2,6.3,0.318,0.6,2.5,0.229,1.4,3.8,0.377,0.364,1.5,2.9,0.512,NA,NA,2.4,1.8,NA,1.1,2.9,6.1
Career,NA,,TOT,,35,NA,21.1,2.1,5.7,0.368,0.6,2.5,0.229,1.9,4.7,0.398,0.388,1.1,2.1,0.556,NA,NA,2.1,2,NA,1.1,2.4,5.6
,NA,,NBA,,21,NA,20,2.2,5.4,0.407,NA,NA,NA,2.2,5.4,0.407,0.407,0.9,1.5,0.613,NA,NA,2,2.1,NA,NA,2,5.3
,NA,,ABA,,14,NA,22.6,2,6.3,0.318,0.6,2.5,0.229,1.4,3.8,0.377,0.364,1.5,2.9,0.512,NA,NA,2.4,1.8,NA,1.1,2.9,6.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,20,NA,20.6,2.3,5.6,0.405,NA,NA,NA,2.3,5.6,0.405,0.405,1,1.6,0.613,NA,NA,2,2.2,NA,NA,2,5.5
1 season,NA,INA,ABA,,14,NA,22.6,2,6.3,0.318,0.6,2.5,0.229,1.4,3.8,0.377,0.364,1.5,2.9,0.512,NA,NA,2.4,1.8,NA,1.1,2.9,6.1
1 season,NA,BAL,NBA,,1,NA,10,1,2,0.5,NA,NA,NA,1,2,0.5,0.5,0,0,NA,NA,NA,2,1,NA,NA,3,2
