Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,24,ATL,NBA,PG,27,0,256,18,38,0.474,9,21,0.429,9,17,0.529,0.592,11,13,0.846,5,30,35,49,10,1,30,28,56
1998-99,25,SEA,NBA,SG,17,0,183,10,32,0.313,8,24,0.333,2,8,0.25,0.438,9,13,0.692,3,17,20,29,7,1,12,24,37
1999-00,26,TOT,NBA,PG,16,0,159,15,33,0.455,7,18,0.389,8,15,0.533,0.561,4,5,0.8,0,12,12,33,2,0,13,23,41
1999-00,26,GSW,NBA,PG,8,0,85,9,18,0.5,3,9,0.333,6,9,0.667,0.583,1,2,0.5,0,8,8,17,2,0,6,14,22
1999-00,26,ATL,NBA,PG,8,0,74,6,15,0.4,4,9,0.444,2,6,0.333,0.533,3,3,1,0,4,4,16,0,0,7,9,19
Career,NA,,NBA,,60,0,598,43,103,0.417,24,63,0.381,19,40,0.475,0.534,24,31,0.774,8,59,67,111,19,2,55,75,134
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ATL,NBA,,35,0,330,24,53,0.453,13,30,0.433,11,23,0.478,0.575,14,16,0.875,5,34,39,65,10,1,37,37,75
1 season,NA,SEA,NBA,,17,0,183,10,32,0.313,8,24,0.333,2,8,0.25,0.438,9,13,0.692,3,17,20,29,7,1,12,24,37
1 season,NA,GSW,NBA,,8,0,85,9,18,0.5,3,9,0.333,6,9,0.667,0.583,1,2,0.5,0,8,8,17,2,0,6,14,22
