Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,25,BOS,NBA,C,16,16,443,42,86,0.488,0,0,NA,42,86,0.488,0.488,13,21,0.619,39,82,121,13,10,30,11,51,97
2002-03,26,BOS,NBA,C,10,10,213,31,55,0.564,0,3,0,31,52,0.596,0.564,4,8,0.5,13,36,49,5,4,14,7,42,66
2006-07,30,ORL,NBA,PF,4,4,87,7,18,0.389,0,0,NA,7,18,0.389,0.389,1,4,0.25,3,13,16,1,0,0,0,12,15
2008-09,32,ORL,NBA,PF,21,0,128,21,45,0.467,0,0,NA,21,45,0.467,0.467,3,5,0.6,7,13,20,2,0,3,2,12,45
2010-11,34,PHI,NBA,C,5,0,38,3,7,0.429,0,0,NA,3,7,0.429,0.429,1,2,0.5,2,8,10,0,0,3,1,5,7
Career,NA,,NBA,,56,30,909,104,211,0.493,0,3,0,104,208,0.5,0.493,22,40,0.55,64,152,216,21,14,50,21,122,230
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,26,26,656,73,141,0.518,0,3,0,73,138,0.529,0.518,17,29,0.586,52,118,170,18,14,44,18,93,163
2 seasons,NA,ORL,NBA,,25,4,215,28,63,0.444,0,0,NA,28,63,0.444,0.444,4,9,0.444,10,26,36,3,0,3,2,24,60
1 season,NA,PHI,NBA,,5,0,38,3,7,0.429,0,0,NA,3,7,0.429,0.429,1,2,0.5,2,8,10,0,0,3,1,5,7
