,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,25,BAL,NBA,,9,21,11,15,,,20,5,,,5,29
1966-67,27,NYK,NBA,,10,,11,16,,,20,,,,,23
1967-68,28,NYK,NBA,,11,24,6,11,,,22,5,,,5,28
1969-70,30,TOT,NBA,,9,21,7,10,,,23,7,,,5,24
1969-70,30,ATL,NBA,,9,21,7,10,,,23,7,,,5,24
1970-71,31,ATL,NBA,,11,17,7,11,,,20,5,,,5,29
1971-72,32,ATL,NBA,,9,18,10,16,,,18,3,,,5,21
1972-73,33,ATL,NBA,,7,18,4,10,,,16,5,,,4,17
Career,,,,,11,,11,16,,,23,,,,,29
4 Seasons,,ATL,NBA,,11,21,10,16,,,23,7,,,5,29
2 Seasons,,NYK,NBA,,11,,11,16,,,22,,,,,28
1 Season,,BAL,NBA,,9,21,11,15,,,20,5,,,5,29
