Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1991-92,23,UTA,NBA,SF,77,2,1161,7.6,16.2,0.467,0.1,0.6,0.214,7.4,15.6,0.476,3.5,4.3,0.81,4.5,8.3,12.8,1.5,0.8,1.9,3.1,5.4,18.8,NA,104,106
1992-93,24,UTA,NBA,SF,82,27,1712,7.5,17.2,0.436,1,2.8,0.347,6.5,14.3,0.453,3.3,4.4,0.75,3.4,8,11.4,1.2,1.3,1.2,2.6,5.8,19.3,NA,101,107
1993-94,25,UTA,NBA,SF,55,18,1070,6.7,17.4,0.385,0.6,2.8,0.203,6.1,14.5,0.421,3.3,4.2,0.773,4.3,8.2,12.5,1.1,1.1,1.8,1.8,5.5,17.2,NA,99,104
1994-95,26,UTA,NBA,SF,71,67,1841,8,16.5,0.486,1.1,3.2,0.33,7,13.3,0.523,3.7,4.4,0.841,2.7,7.7,10.4,1.6,1.3,1.3,2.1,5.2,20.8,NA,112,106
1995-96,27,UTA,NBA,SF,81,63,1961,6.9,15.8,0.439,1.7,5.2,0.333,5.2,10.6,0.491,2.4,3,0.777,2.4,8,10.4,2.2,1.2,1.3,1.9,4.5,18,NA,108,106
1997-98,29,TOT,NBA,SF,77,0,1123,7.2,19.4,0.373,2.6,8.1,0.324,4.6,11.3,0.408,2.9,3.5,0.824,2.9,6.8,9.7,1.2,1.7,1,2.5,7.5,20,NA,101,106
1997-98,29,NJN,NBA,SF,53,0,799,6.7,17.8,0.379,2.7,7.9,0.345,4,9.9,0.407,2.4,2.9,0.841,2.8,6.5,9.3,1.1,1.7,1.1,2.6,7.9,18.6,NA,102,106
1997-98,29,ORL,NBA,SF,24,0,324,8.5,23.6,0.36,2.4,8.7,0.275,6.1,15,0.409,4.1,5.1,0.8,3.1,7.5,10.5,1.4,1.5,0.7,2.2,6.3,23.5,NA,98,104
2000-01,32,UTA,NBA,SF,49,2,446,8.5,17.6,0.483,0.6,1.6,0.385,7.9,16.1,0.493,3.7,4.7,0.795,2.4,7.3,9.7,2.6,0.7,0.7,3.4,9,21.3,NA,102,105
Career,NA,,NBA,,492,179,9314,7.4,17,0.438,1.2,3.7,0.319,6.2,13.3,0.47,3.2,4,0.795,3.2,7.8,11,1.6,1.2,1.4,2.4,5.7,19.2,NA,104,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,UTA,NBA,,415,179,8191,7.4,16.6,0.448,1,3.1,0.318,6.5,13.5,0.477,3.2,4.1,0.792,3.2,8,11.2,1.6,1.1,1.4,2.3,5.4,19.1,NA,105,106
1 season,NA,NJN,NBA,,53,0,799,6.7,17.8,0.379,2.7,7.9,0.345,4,9.9,0.407,2.4,2.9,0.841,2.8,6.5,9.3,1.1,1.7,1.1,2.6,7.9,18.6,NA,102,106
1 season,NA,ORL,NBA,,24,0,324,8.5,23.6,0.36,2.4,8.7,0.275,6.1,15,0.409,4.1,5.1,0.8,3.1,7.5,10.5,1.4,1.5,0.7,2.2,6.3,23.5,NA,98,104
