Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Steve Blake,,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3,NA
Shaun Livingston,86.9,4.6,4.4,3.3,2.6,2.6,2.4,2,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Eric Piatkowski,86.0,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0.1,0
Vernon Maxwell,84.6,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0,0,NA
Gerald Henderson,83.4,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
George McCloud,83.4,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,NA,NA
Darrell Walker,83.4,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA,NA,NA,NA
Marco Belinelli,83.2,5.9,3.7,3.4,3.2,3,2.9,2.9,2.5,1.2,0.5,0.5,0,NA,NA
Larry Hughes,82.8,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,NA
Bill Hanzlik,82.7,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA,NA,NA
Anthony Morrow,82.4,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA,NA
