Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,CHI,NBA,C,80,NA,29.6,4,10.4,0.383,1.8,2.8,0.653,NA,NA,11.1,2.2,NA,NA,NA,4,9.8
1969-70,24,CHI,NBA,C,81,NA,28.8,4.3,9.6,0.449,1.9,2.8,0.664,NA,NA,12.5,2.8,NA,NA,NA,3.1,10.4
1970-71,25,CHI,NBA,C,82,NA,28.9,4.4,9,0.485,2,2.8,0.724,NA,NA,13.8,4.8,NA,NA,NA,3.4,10.8
1971-72,26,CHI,NBA,C,80,NA,25.3,2.7,6.3,0.438,1.5,2.3,0.656,NA,NA,11.2,3.5,NA,NA,NA,3.2,7
1972-73,27,CHI,NBA,C,8,NA,22,1.1,3,0.375,1.5,2.5,0.6,NA,NA,6.8,5,NA,NA,NA,2.8,3.8
1973-74,28,CHI,NBA,C,46,NA,13.1,1.3,2.6,0.487,0.9,1.3,0.7,1.2,3.5,4.6,2,0.3,0.4,NA,1.7,3.4
1974-75,29,CHI,NBA,C,80,NA,14.7,1.7,3.4,0.487,0.9,1.2,0.768,1.3,3.4,4.8,3.4,0.3,0.6,NA,2,4.2
1975-76,30,CHI,NBA,C,74,NA,27.6,3.6,7.2,0.5,1.6,2.4,0.667,3.6,7.1,10.7,3.8,0.6,0.7,NA,3.6,8.8
1976-77,31,CHI,NBA,C,82,NA,13,1.6,3.3,0.491,0.4,0.8,0.54,1.2,2.6,3.8,2.3,0.2,0.2,NA,1.8,3.7
1977-78,32,CHI,NBA,C,22,NA,10.3,1,2.3,0.46,0.5,0.6,0.769,0.6,2,2.7,2,0.1,0.2,1.2,1.6,2.5
Career,NA,,NBA,,635,NA,22.7,2.9,6.5,0.453,1.4,2,0.675,1.8,4,9,3.2,0.4,0.5,1.2,2.9,7.2
