Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,24,IND,NBA,PF,5,11,-10.3,0,0,0,23.1,41.7,32.8,12.3,0,12.9,42.9,30.3,NA,-0.2,0,-0.1,-0.52,NA,-22.7,-1.2,-23.9,-0.1
1998-99,25,WAS,NBA,SF,2,4,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,-0.017,NA,-3,-1.6,-4.6,0
1999-00,26,TOT,NBA,PF,13,118,10.5,0.615,0,1.846,12,17.6,14.7,6.3,0.9,3.5,29.8,12.7,NA,0.1,0.1,0.1,0.059,NA,-4.7,-0.9,-5.6,-0.1
1999-00,26,NYK,NBA,PF,2,5,7.8,0.852,NA,NA,24.5,0,11.9,0,0,0,53.2,35.6,NA,0,0,0,-0.049,NA,-9.8,-5.5,-15.3,0
1999-00,26,LAC,NBA,PF,11,113,10.6,0.596,0,1.538,11.5,18.4,14.8,6.6,0.9,3.6,26.8,11.7,NA,0.1,0.1,0.2,0.064,NA,-4.5,-0.7,-5.2,-0.1
2000-01,27,CLE,NBA,PF,6,19,22.4,0.694,0,1,18.3,24.3,21.3,0,0,7.7,14.8,16.1,NA,0.1,0,0.1,0.276,NA,1,0.7,1.7,0
Career,NA,,NBA,,26,152,10.2,0.555,0,1.333,13.3,19.7,16.4,5.8,0.7,4.6,29.6,14.1,NA,0,0.1,0.1,0.043,NA,-5.2,-0.8,-6,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAC,NBA,,11,113,10.6,0.596,0,1.538,11.5,18.4,14.8,6.6,0.9,3.6,26.8,11.7,NA,0.1,0.1,0.2,0.064,NA,-4.5,-0.7,-5.2,-0.1
1 season,NA,CLE,NBA,,6,19,22.4,0.694,0,1,18.3,24.3,21.3,0,0,7.7,14.8,16.1,NA,0.1,0,0.1,0.276,NA,1,0.7,1.7,0
1 season,NA,IND,NBA,,5,11,-10.3,0,0,0,23.1,41.7,32.8,12.3,0,12.9,42.9,30.3,NA,-0.2,0,-0.1,-0.52,NA,-22.7,-1.2,-23.9,-0.1
1 season,NA,NYK,NBA,,2,5,7.8,0.852,NA,NA,24.5,0,11.9,0,0,0,53.2,35.6,NA,0,0,0,-0.049,NA,-9.8,-5.5,-15.3,0
1 season,NA,WAS,NBA,,2,4,0,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,-0.017,NA,-3,-1.6,-4.6,0
