,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1998-99,22,TOT,NBA,33:53,4,10,1,3,3,8,1,2,1,1,2,7,2,0,3,4,9,7.5
1998-99,22,NJN,NBA,16:38,3,7,1,2,3,6,0,0,1,1,2,2,1,0,3,2,6,5.1
1998-99,22,CLE,NBA,33:53,4,10,1,3,3,8,1,2,1,1,2,7,2,0,3,4,9,7.5
1999-00,23,TOT,NBA,27:43,8,14,1,3,7,11,5,6,3,2,5,10,3,1,2,4,22,25.3
1999-00,23,ORL,NBA,7:42,3,4,0,0,3,4,0,0,1,0,1,3,0,0,0,0,6,7.2
1999-00,23,CLE,NBA,27:43,8,14,1,3,7,11,5,6,3,2,5,10,3,1,2,4,22,25.3
2000-01,24,LAC,NBA,26:29,6,12,1,3,6,9,4,4,1,2,3,9,3,0,2,4,15,14.3
2001-02,25,LAC,NBA,32:45,5,11,2,3,5,11,6,8,2,2,3,7,2,1,4,4,12,10.6
2002-03,26,GSW,NBA,32:36,10,17,4,4,9,14,8,10,2,5,5,8,7,1,4,3,28,26.3
2003-04,27,DEN,NBA,39:12,10,20,4,7,9,18,7,8,2,4,5,13,3,1,4,4,27,19.7
2004-05,28,DEN,NBA,38:37,11,19,3,6,9,16,15,16,3,5,6,12,5,2,6,4,32,31.7
2005-06,29,DEN,NBA,47:21,11,21,4,9,8,18,10,10,2,4,4,12,3,1,5,4,33,29.2
2006-07,30,TOT,NBA,48:00,13,23,6,9,9,16,14,15,3,5,7,11,4,1,5,6,36,36.9
2006-07,30,DEN,NBA,43:17,10,23,4,8,8,16,14,15,2,5,7,11,3,1,4,2,29,26.4
2006-07,30,MIL,NBA,48:00,13,20,6,9,9,14,12,13,3,4,6,11,4,0,5,6,36,36.9
2007-08,31,CHA,NBA,32:59,6,11,2,3,5,9,6,8,2,3,4,8,2,0,4,3,15,13.2
2009-10,33,WAS,NBA,38:31,7,13,2,5,7,13,7,10,2,6,8,9,2,1,4,4,20,14.9
2010-11,34,MIL,NBA,36:00,9,22,4,6,8,16,7,8,3,4,5,11,4,1,5,5,26,20.1
2011-12,35,HOU,NBA,21:37,4,8,1,2,3,6,6,6,0,3,3,5,1,0,3,2,10,8.0
Career,,,,48:00,13,23,6,9,9,18,15,16,3,6,8,13,7,2,6,6,36,36.9
4 Seasons,,DEN,NBA,47:21,11,23,4,9,9,18,15,16,3,5,7,13,5,2,6,4,33,31.7
2 Seasons,,MIL,NBA,48:00,13,22,6,9,9,16,12,13,3,4,6,11,4,1,5,6,36,36.9
2 Seasons,,LAC,NBA,32:45,6,12,2,3,6,11,6,8,2,2,3,9,3,1,4,4,15,14.3
1 Season,,GSW,NBA,32:36,10,17,4,4,9,14,8,10,2,5,5,8,7,1,4,3,28,26.3
1 Season,,WAS,NBA,38:31,7,13,2,5,7,13,7,10,2,6,8,9,2,1,4,4,20,14.9
2 Seasons,,CLE,NBA,33:53,8,14,1,3,7,11,5,6,3,2,5,10,3,1,3,4,22,25.3
1 Season,,CHA,NBA,32:59,6,11,2,3,5,9,6,8,2,3,4,8,2,0,4,3,15,13.2
1 Season,,HOU,NBA,21:37,4,8,1,2,3,6,6,6,0,3,3,5,1,0,3,2,10,8.0
1 Season,,NJN,NBA,16:38,3,7,1,2,3,6,0,0,1,1,2,2,1,0,3,2,6,5.1
1 Season,,ORL,NBA,7:42,3,4,0,0,3,4,0,0,1,0,1,3,0,0,0,0,6,7.2
