,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2010-11,24,DAL,NBA,SG,6,23,,39%,61%,,,+22.4,+15.7,0,1,1,1,0,0,2,0,1
2011-12,25,DEN,NBA,SF,7,116,,31%,68%,,,+0.9,+1.0,0,2,3,0,4,2,12,1,4
2012-13,26,DEN,NBA,SF,6,146,,1%,90%,9%,,-3.3,+3.0,0,3,6,3,9,2,17,1,5
2014-15,28,HOU,NBA,SF,17,428,,41%,58%,1%,,-6.4,-9.7,5,6,15,2,15,7,42,2,13
2015-16,29,HOU,NBA,SF,5,77,,9%,90%,1%,,-12.1,+11.3,1,2,3,2,2,1,18,0,3
2017-18,31,OKC,NBA,SG,6,151,,88%,12%,,,-12.6,-16.6,1,1,6,0,2,1,11,0,1
Career,,,NBA,,47,941,,38%,60%,2%,,-5.8,-5.2,7,15,34,8,32,13,102,4,27
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,22,505,,36%,63%,1%,,-7.3,-6.5,6,8,18,4,17,8,60,2,16
2 seasons,,DEN,NBA,,13,262,,14%,80%,5%,,-1.4,+2.1,0,5,9,3,13,4,29,2,9
1 season,,DAL,NBA,,6,23,,39%,61%,,,+22.4,+15.7,0,1,1,1,0,0,2,0,1
1 season,,OKC,NBA,,6,151,,88%,12%,,,-12.6,-16.6,1,1,6,0,2,1,11,0,1
