Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,23,HOU,NBA,PG,6,0,50,8,25,0.32,0,10,0,8,15,0.533,0.32,9,11,0.818,0,6,6,3,0,0,3,11,25
2008-09,24,HOU,NBA,PG,13,13,444,77,170,0.453,27,64,0.422,50,106,0.472,0.532,37,46,0.804,4,30,34,44,5,3,29,29,218
2012-13,28,HOU,NBA,PG,6,0,67,13,34,0.382,1,9,0.111,12,25,0.48,0.397,3,5,0.6,3,6,9,11,1,1,6,3,30
2014-15,30,CHI,NBA,PG,12,0,132,21,61,0.344,8,26,0.308,13,35,0.371,0.41,4,7,0.571,3,15,18,11,3,1,9,16,54
2016-17,32,IND,NBA,PG,1,0,7,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,NA,0,1,1,1,0,0,1,0,5
2017-18,33,MIN,NBA,PG,2,0,3,2,3,0.667,0,1,0,2,2,1,0.667,0,2,0,0,0,0,0,0,0,0,0,4
Career,NA,,NBA,,40,13,703,123,296,0.416,37,112,0.33,86,184,0.467,0.478,53,71,0.746,10,58,68,70,9,5,48,59,336
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,HOU,NBA,,25,13,561,98,229,0.428,28,83,0.337,70,146,0.479,0.489,49,62,0.79,7,42,49,58,6,4,38,43,273
1 season,NA,CHI,NBA,,12,0,132,21,61,0.344,8,26,0.308,13,35,0.371,0.41,4,7,0.571,3,15,18,11,3,1,9,16,54
1 season,NA,MIN,NBA,,2,0,3,2,3,0.667,0,1,0,2,2,1,0.667,0,2,0,0,0,0,0,0,0,0,0,4
1 season,NA,IND,NBA,,1,0,7,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,NA,0,1,1,1,0,0,1,0,5
