Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1990-91,22,BOS,NBA,PG,11,284,16.2,0.545,0.046,0.315,3.8,13.8,9,21.8,2,1.3,15.2,22.3,NA,0.2,0.3,0.4,0.075,NA,0.6,1.4,2,0.3
1991-92,23,BOS,NBA,PG,6,120,16,0.515,0.068,0.136,2.9,9.8,6.2,35.9,0.4,2.3,13,19.8,NA,0.2,0,0.2,0.084,NA,1.4,0.6,2,0.1
1992-93,24,BOS,NBA,PG,4,133,10.6,0.477,0.171,0.341,1.9,3.8,2.9,15.6,0.8,1.9,11.3,18,NA,0.1,0,0.1,0.049,NA,-1.4,-1.1,-2.5,0
1994-95,26,BOS,NBA,SG,4,172,15.7,0.543,0.419,0.258,3.8,9.3,6.5,21.6,1.6,0.4,9.2,19.9,NA,0.3,0.1,0.5,0.129,NA,3,1.4,4.4,0.3
1999-00,31,TOR,NBA,PG,3,19,-4.1,0,0.75,0,0,13.5,6.3,18.3,5.9,0,20,12.4,NA,-0.1,0,-0.1,-0.165,NA,-14.1,1.4,-12.7,-0.1
2000-01,32,ORL,NBA,PG,3,54,14,0.692,0.846,0,0,5.7,2.8,10.9,1.9,0,7.1,11.4,NA,0.1,0,0.1,0.094,NA,2,0.8,2.8,0.1
Career,NA,,NBA,,31,782,14.5,0.528,0.202,0.257,3,9.9,6.5,22,1.5,1.3,12.7,19.7,NA,0.9,0.4,1.3,0.079,NA,0.7,0.8,1.5,0.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,25,709,15,0.528,0.161,0.275,3.3,10.2,6.8,23,1.4,1.4,12.8,20.5,NA,0.8,0.4,1.3,0.085,NA,0.9,0.8,1.7,0.7
1 season,NA,ORL,NBA,,3,54,14,0.692,0.846,0,0,5.7,2.8,10.9,1.9,0,7.1,11.4,NA,0.1,0,0.1,0.094,NA,2,0.8,2.8,0.1
1 season,NA,TOR,NBA,,3,19,-4.1,0,0.75,0,0,13.5,6.3,18.3,5.9,0,20,12.4,NA,-0.1,0,-0.1,-0.165,NA,-14.1,1.4,-12.7,-0.1
