Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1990-91,22,BOS,NBA,PG,11,0,284,9.4,19.1,0.491,0,0.9,0,9.4,18.3,0.515,5,6,0.824,1.6,6.4,8,7.3,2,1.1,3.9,5.7,23.8,NA,107,112
1991-92,23,BOS,NBA,PG,6,0,120,9.6,19.2,0.5,0,1.3,0,9.6,17.9,0.537,1.7,2.6,0.667,1.3,3.9,5.2,13.5,0.4,1.7,3.1,7,21,NA,114,117
1992-93,24,BOS,NBA,PG,4,3,133,6.1,16.6,0.366,0.4,2.8,0.143,5.7,13.8,0.412,5.7,5.7,1,0.8,1.6,2.4,6.1,0.8,1.6,2.4,4.5,18.2,NA,108,116
1994-95,26,BOS,NBA,SG,4,4,172,8.3,19.9,0.419,2.9,8.3,0.346,5.4,11.5,0.472,4.5,5.1,0.875,1.9,4.5,6.4,6.1,1.6,0.3,2.2,4.2,24,NA,120,114
1999-00,31,TOR,NBA,PG,3,0,19,0,11.7,0,0,8.8,0,0,2.9,0,0,0,NA,0,5.9,5.9,5.9,5.9,0,2.9,11.7,0,NA,20,95
2000-01,32,ORL,NBA,PG,3,0,54,5.7,12.4,0.462,5.7,10.5,0.545,0,1.9,0,0,0,NA,0,2.9,2.9,3.8,1.9,0,1,2.9,17.2,NA,135,118
Career,NA,,NBA,,31,7,782,8.2,18.3,0.449,1.1,3.7,0.291,7.1,14.6,0.488,4,4.7,0.857,1.3,4.6,5.9,7.5,1.5,1,3,5.3,21.5,NA,111,114
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BOS,NBA,,25,7,709,8.6,18.9,0.455,0.7,3,0.244,7.8,15.8,0.495,4.4,5.2,0.857,1.5,4.7,6.1,7.8,1.4,1.1,3.1,5.3,22.3,NA,111,114
1 season,NA,ORL,NBA,,3,0,54,5.7,12.4,0.462,5.7,10.5,0.545,0,1.9,0,0,0,NA,0,2.9,2.9,3.8,1.9,0,1,2.9,17.2,NA,135,118
1 season,NA,TOR,NBA,,3,0,19,0,11.7,0,0,8.8,0,0,2.9,0,0,0,NA,0,5.9,5.9,5.9,5.9,0,2.9,11.7,0,NA,20,95
