Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,BOS,NBA,PG,82,5,1945,284,612,0.464,7,34,0.206,277,578,0.479,0.47,137,157,0.873,41,141,182,344,83,14,137,161,712
1991-92,23,BOS,NBA,PG,31,20,883,149,350,0.426,5,22,0.227,144,328,0.439,0.433,60,78,0.769,15,64,79,164,33,7,59,74,363
1992-93,24,BOS,NBA,PG,80,48,2254,328,701,0.468,26,82,0.317,302,619,0.488,0.486,192,242,0.793,45,201,246,461,138,32,136,203,874
1993-94,25,BOS,NBA,SG,77,76,2867,490,1021,0.48,30,96,0.313,460,925,0.497,0.495,182,219,0.831,63,237,300,347,156,47,126,207,1192
1994-95,26,BOS,NBA,SG,79,69,2792,437,977,0.447,126,327,0.385,311,650,0.478,0.512,236,277,0.852,63,186,249,301,110,49,146,181,1236
1995-96,27,BOS,NBA,PG,65,23,1591,246,616,0.399,68,220,0.309,178,396,0.449,0.455,135,158,0.854,36,100,136,146,80,12,74,119,695
1996-97,28,BOS,NBA,PG,21,2,522,61,166,0.367,20,65,0.308,41,101,0.406,0.428,18,22,0.818,8,40,48,67,31,7,24,45,160
1997-98,29,TOT,NBA,SG,72,12,1719,246,562,0.438,108,271,0.399,138,291,0.474,0.534,58,71,0.817,24,128,152,154,82,23,73,123,658
1997-98,29,BOS,NBA,SG,41,10,811,109,255,0.427,43,113,0.381,66,142,0.465,0.512,19,28,0.679,10,52,62,53,44,6,32,76,280
1997-98,29,TOR,NBA,SG,31,2,908,137,307,0.446,65,158,0.411,72,149,0.483,0.552,39,43,0.907,14,76,90,101,38,17,41,47,378
1998-99,30,TOR,NBA,PG,49,0,1377,187,495,0.378,135,349,0.387,52,146,0.356,0.514,40,55,0.727,15,88,103,143,56,8,80,75,549
1999-00,31,TOR,NBA,PG,38,12,673,93,258,0.36,67,187,0.358,26,71,0.366,0.49,11,16,0.688,9,45,54,86,24,5,39,62,264
2000-01,32,ORL,NBA,PG,7,0,155,16,44,0.364,12,32,0.375,4,12,0.333,0.5,4,5,0.8,0,11,11,12,4,0,7,10,48
2001-02,33,ORL,NBA,PG,7,0,65,3,20,0.15,1,12,0.083,2,8,0.25,0.175,0,0,NA,0,9,9,2,3,1,4,4,7
Career,NA,,NBA,,608,267,16843,2540,5822,0.436,605,1697,0.357,1935,4125,0.469,0.488,1073,1300,0.825,319,1250,1569,2227,800,205,905,1264,6758
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,BOS,NBA,,476,253,13665,2104,4698,0.448,325,959,0.339,1779,3739,0.476,0.482,979,1181,0.829,281,1021,1302,1883,675,174,734,1066,5512
3 seasons,NA,TOR,NBA,,118,14,2958,417,1060,0.393,267,694,0.385,150,366,0.41,0.519,90,114,0.789,38,209,247,330,118,30,160,184,1191
2 seasons,NA,ORL,NBA,,14,0,220,19,64,0.297,13,44,0.295,6,20,0.3,0.398,4,5,0.8,0,20,20,14,7,1,11,14,55
