Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kedrick Brown,,2,0.5,0.4,0.1
Trajan Langdon,93.6,2,0.6,0.3,NA
Bubbles Hawkins,89.2,1.9,0.6,0.3,0.1
Tyronn Lue,88.4,2,0.4,0.3,0.2
Felipe López,86.8,1.9,0.5,0.4,0.3
Treveon Graham,85.9,1.8,0.5,0.4,NA
Kevin Williams,85.6,1.9,0.6,0.1,0.1
Emanual Davis,82.9,1.8,0.5,0.3,0.3
Alexey Shved,81.5,2.2,0.8,0.2,NA
Patrick McCaw,80.5,1.7,0.6,0.5,NA
Win Wilfong,79.3,2.1,0.6,0.2,-0.3
