Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2006-07,21,CLE,NBA,SG,23,5,202,7.3,19.4,0.378,1.8,6.5,0.28,5.5,12.8,0.429,2.6,3.7,0.714,1.6,3.9,5.5,2.6,1.8,0.8,3.7,6.3,19.1,NA,88,103
2007-08,22,TOT,NBA,SG,21,4,240,9.7,27.9,0.349,2,6.6,0.3,7.7,21.2,0.365,3.8,6.4,0.586,1.3,3.1,4.4,3.8,2.4,0.7,5.3,6.4,25.2,NA,81,107
2007-08,22,CLE,NBA,SG,15,4,218,10,27.1,0.369,2.2,7.1,0.31,7.8,20,0.39,3.4,5.6,0.609,1.2,3.2,4.4,4.2,2.4,0.2,4.6,6.6,25.6,NA,86,108
2007-08,22,CHI,NBA,SG,6,0,22,7,35.2,0.2,0,2.3,0,7,32.8,0.214,7,14.1,0.5,2.3,2.3,4.7,0,2.3,4.7,11.7,4.7,21.1,NA,46,105
2008-09,23,TOT,NBA,SG,48,0,477,8.7,18.4,0.473,1.6,4.1,0.378,7.2,14.3,0.5,3.6,4.4,0.821,1.2,3.7,4.9,4.2,2.5,0.8,4.2,4.7,22.6,NA,101,106
2008-09,23,CHA,NBA,SG,30,0,341,8.9,19.6,0.455,1.3,4.5,0.286,7.6,15.1,0.505,3.8,4.8,0.8,1.3,2.5,3.8,4.5,2.9,0.8,4.6,5.3,22.9,NA,97,106
2008-09,23,LAL,NBA,SG,18,0,136,8.2,15.7,0.524,2.2,3.4,0.667,6,12.4,0.485,3,3.4,0.889,1.1,6.4,7.5,3.7,1.5,0.7,3.4,3.4,21.7,NA,114,106
2009-10,24,LAL,NBA,SG,82,7,1700,7.7,18,0.427,1.9,5.8,0.328,5.8,12.3,0.474,3,3.7,0.818,0.9,4.7,5.6,3.3,1.7,0.9,2,3.9,20.3,NA,105,105
2010-11,25,LAL,NBA,SG,82,0,1568,9.2,21.7,0.425,2.5,7.2,0.349,6.7,14.5,0.462,3.1,3.4,0.911,1.2,4.1,5.3,3.2,2.3,0.5,2.5,4.2,24,NA,105,106
2011-12,26,PHO,NBA,SG,59,19,1400,9.3,22.1,0.42,2.5,7,0.362,6.8,15.2,0.446,3,3.7,0.808,1.4,4.4,5.8,2.6,1.6,0.6,2.4,2.4,24.1,NA,101,108
2012-13,27,PHO,NBA,SG,59,22,1402,8.8,20.9,0.42,1.4,5.2,0.277,7.4,15.8,0.467,3.6,4.6,0.784,1.6,3.8,5.5,4,2.2,0.5,2.7,3.4,22.6,NA,99,110
2013-14,28,TOT,NBA,SG,29,1,251,5,13.7,0.364,0,0.4,0,5,13.3,0.375,3.1,4.4,0.714,1.5,4.4,5.8,1.9,2.7,0,3.7,5,13.1,NA,78,107
