Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jud Buechler,,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.8,0.5,0.5,0.4
Tony Massenburg,89.9,2.8,2.2,1.8,1.7,1.5,1.3,1,0.9,0.7,0.4,0.2,-0.1
Corie Blount,86.5,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7,NA
Jason Smith,85.5,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0,NA
Tom Hammonds,83.5,2.6,2.4,2.2,1.8,1.7,1,0.8,0.8,0.6,0.5,0.5,-0.1
Earl Cureton,82.0,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1
Chucky Brown,78.5,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.4,0.3,0
Bill Willoughby,77.8,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA,NA
Damien Wilkins,76.6,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA,NA
Brad Lohaus,75.8,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA
Brian Skinner,75.7,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0
