,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,21,UTA,NBA,PG,70,2262,100%,,,,,-6.1,+4.5,85,32,69,7,34,10,892,8,29
2014-15,22,UTA,NBA,PG,76,2288,100%,,,,,-2.1,-5.5,81,36,56,3,54,5,739,9,50
2015-16,23,UTA,NBA,PG,64,1366,94%,6%,,,,-1.6,-5.2,45,23,39,6,33,1,339,11,33
2016-17,24,WAS,NBA,PG,57,703,98%,2%,,,,-9.8,-13.9,28,13,21,4,15,4,233,5,8
2017-18,25,NYK,NBA,PG,36,785,100%,,,,,-5.5,-1.9,26,9,14,4,27,1,394,8,8
2018-19,26,TOT,NBA,PG,58,1125,100%,,,,,-1.7,+4.5,28,8,19,7,56,5,386,16,39
2018-19,26,NYK,NBA,PG,33,689,100%,,,,,-6.2,+3.7,16,3,12,5,35,3,225,14,24
2018-19,26,DAL,NBA,PG,25,436,100%,,,,,+5.5,+8.2,12,5,7,2,21,2,161,2,15
2019-20,27,PHI,NBA,PG,25,329,100%,,,,,+4.9,+3.1,8,0,5,3,5,1,125,2,8
Career,,,NBA,,386,8858,99%,1%,,,,-3.6,-1.7,301,121,223,34,224,27,3108,59,175
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,210,5916,98%,2%,,,,-3.5,-1.7,211,91,164,16,121,16,1970,28,112
2 seasons,,NYK,NBA,,69,1474,100%,,,,,-5.8,+0.7,42,12,26,9,62,4,619,22,32
1 season,,WAS,NBA,,57,703,98%,2%,,,,-9.8,-13.9,28,13,21,4,15,4,233,5,8
1 season,,DAL,NBA,,25,436,100%,,,,,+5.5,+8.2,12,5,7,2,21,2,161,2,15
1 season,,PHI,NBA,,25,329,100%,,,,,+4.9,+3.1,8,0,5,3,5,1,125,2,8
