Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,GSW,NBA,SG,47,0,418,72,188,0.383,0,1,0,72,187,0.385,0.383,53,77,0.688,10,18,28,20,21,4,33,76,197
1987-88,25,LAC,NBA,SG,19,0,312,62,138,0.449,0,4,0,62,134,0.463,0.449,47,69,0.681,6,21,27,38,10,5,40,56,171
1991-92,29,PHO,NBA,SG,31,2,356,74,160,0.463,1,6,0.167,73,154,0.474,0.466,38,54,0.704,10,24,34,59,16,4,33,58,187
1992-93,30,WSB,NBA,SG,4,0,35,10,26,0.385,1,3,0.333,9,23,0.391,0.404,8,10,0.8,2,1,3,6,2,0,4,5,29
Career,NA,,NBA,,101,2,1121,218,512,0.426,2,14,0.143,216,498,0.434,0.428,146,210,0.695,28,64,92,123,49,13,110,195,584
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,GSW,NBA,,47,0,418,72,188,0.383,0,1,0,72,187,0.385,0.383,53,77,0.688,10,18,28,20,21,4,33,76,197
1 season,NA,PHO,NBA,,31,2,356,74,160,0.463,1,6,0.167,73,154,0.474,0.466,38,54,0.704,10,24,34,59,16,4,33,58,187
1 season,NA,LAC,NBA,,19,0,312,62,138,0.449,0,4,0,62,134,0.463,0.449,47,69,0.681,6,21,27,38,10,5,40,56,171
1 season,NA,WSB,NBA,,4,0,35,10,26,0.385,1,3,0.333,9,23,0.391,0.404,8,10,0.8,2,1,3,6,2,0,4,5,29
