,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1972-73,22,INA,ABA,,4,,0,,,,4,6,,,,,,,,,11,
1973-74,23,INA,ABA,,5,,2,,,,2,3,,,,,,,,,12,
1974-75,24,INA,ABA,,4,,1,,,,6,9,,,,,,,,,13,
1975-76,25,INA,ABA,,6,,2,,,,2,2,,,,,,,,,16,
1977-78,27,PHO,NBA,,4,7,,,,,0,0,3,0,3,3,3,0,1,2,8,10.5
1978-79,28,PHO,NBA,,5,10,,,,,8,8,,,9,8,4,,3,5,16,
1979-80,29,PHO,NBA,,8,12,3,4,8,11,4,4,,,4,9,2,0,4,4,17,
1980-81,30,IND,NBA,,1,4,1,2,0,2,2,2,0,3,3,5,,0,,2,5,
1982-83,32,POR,NBA,,2,4,0,0,2,4,3,4,0,1,1,3,0,0,1,1,7,6.3
1983-84,33,KCK,NBA,,4,6,2,3,2,4,4,4,0,2,2,6,1,1,2,3,10,8.1
Career,,,TOT,,8,,,,,,8,9,,,,,,,,,17,
,,,NBA,,8,12,,,8,,8,8,,,9,9,,,,5,17,
,,,ABA,,6,,2,,,,6,9,,,,,,,,,16,
,,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,"INA,IND",ABA,,6,,2,,,,6,9,,,,,,,,,16,
3 Seasons,,PHO,NBA,,8,12,,,8,,8,8,,,9,9,4,,4,5,17,
1 Season,,POR,NBA,,2,4,0,0,2,4,3,4,0,1,1,3,0,0,1,1,7,6.3
1 Season,,KCK,NBA,,4,6,2,3,2,4,4,4,0,2,2,6,1,1,2,3,10,8.1
