Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1984-85,23,LAC,NBA,PF,75,41,1610,6.4,11.8,0.543,0,0,NA,6.4,11.8,0.543,3,4,0.737,3.7,7.9,11.6,1.5,1.2,0.9,2.4,4.8,15.7,NA,113,109
1985-86,24,LAC,NBA,PF,78,12,1566,6.1,12.7,0.479,0,0.1,0,6.1,12.6,0.482,3.4,5.2,0.649,5,7.4,12.4,2.4,1.9,1,3.2,5.3,15.5,NA,103,110
1986-87,25,LAC,NBA,PF,80,76,2922,7.3,14,0.521,0,0,0,7.3,14,0.522,5.5,7.5,0.73,5.7,9.1,14.8,2.1,1.6,1.1,2.7,3.5,20.1,NA,115,110
1987-88,26,LAC,NBA,PF,72,70,2660,6.4,13.7,0.47,0,0,0,6.4,13.7,0.471,5.8,8.5,0.688,6.6,10.1,16.8,2,1.6,1,2.9,3.5,18.7,NA,109,105
1988-89,27,SEA,NBA,PF,80,71,2536,5.9,11.9,0.498,0,0.1,0,5.9,11.8,0.502,3.7,5,0.743,5.2,9.2,14.5,2.4,1.7,1,2.3,3.5,15.6,NA,116,107
1989-90,28,SEA,NBA,C,82,82,2595,6.3,12.5,0.504,0,0,NA,6.3,12.5,0.504,2.9,4.1,0.698,5.9,10,15.9,1.4,1.5,0.9,1.8,4.5,15.5,NA,118,108
1990-91,29,SEA,NBA,C,82,55,2141,5.3,10.4,0.508,0,0.1,0,5.3,10.3,0.511,1.6,2.6,0.625,4.1,8.9,13,2.1,2,1.4,1.9,4.5,12.2,NA,110,106
1991-92,30,SEA,NBA,PF,82,69,2461,6.3,11.1,0.566,0,0.1,0,6.3,11,0.572,2.2,3.5,0.62,5.4,9.4,14.9,1.9,2,1.1,1.6,4.8,14.7,NA,124,106
1992-93,31,SEA,NBA,C,82,66,2156,5.1,9.6,0.526,0,0,0,5.1,9.6,0.528,1.4,3,0.469,6.2,9.1,15.3,1.6,1.8,1.1,1.4,4.2,11.6,NA,119,104
1993-94,32,SEA,NBA,C,82,42,1708,5.1,9.3,0.545,0,0,0,5.1,9.2,0.546,1.1,2.2,0.486,4.8,8.3,13.1,1.3,2.3,1.1,1.5,5.3,11.2,NA,115,100
1994-95,33,CLE,NBA,C,82,21,2040,4.9,9.4,0.521,0,0.1,0,4.9,9.4,0.524,1.5,2.4,0.602,5.6,10,15.6,1.6,1.7,1.9,1.6,4.1,11.3,NA,115,102
1995-96,34,CLE,NBA,C,82,80,2631,4.9,8.8,0.556,0,0,0,4.9,8.8,0.557,1.1,2,0.543,6.4,9.8,16.2,1.2,1.9,1.8,1.2,4.8,10.9,NA,124,104
1996-97,35,PHI,NBA,C,82,24,1247,2.7,5.7,0.468,0,0,NA,2.7,5.7,0.468,0.8,1.7,0.463,4.5,8.4,12.9,1.7,1.9,1.7,0.7,4.8,6.1,NA,118,109
1997-98,36,NJN,NBA,C,79,17,1201,1.9,3.7,0.512,0,0,0,1.9,3.6,0.518,0.9,1.6,0.556,5,8.5,13.5,1.4,2,1.9,1,4.6,4.7,NA,122,104
1999-00,38,NJN,NBA,C,20,7,242,2.6,5.1,0.5,0,0,NA,2.6,5.1,0.5,0.6,0.6,1,7.1,10.3,17.4,1.9,1.7,1.7,0.9,6.4,5.8,NA,134,103
Career,NA,,NBA,,1140,733,29716,5.6,10.9,0.515,0,0,0,5.6,10.8,0.517,2.8,4.2,0.664,5.4,9.1,14.6,1.8,1.8,1.2,2,4.4,14,NA,115,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SEA,NBA,,490,385,13597,5.7,11,0.522,0,0.1,0,5.7,10.9,0.525,2.3,3.5,0.641,5.3,9.2,14.5,1.8,1.9,1.1,1.8,4.4,13.7,NA,117,105
4 seasons,NA,LAC,NBA,,305,199,8758,6.7,13.3,0.501,0,0,0,6.7,13.3,0.503,4.7,6.7,0.704,5.5,8.9,14.4,2,1.6,1,2.8,4.1,18.1,NA,111,108
2 seasons,NA,CLE,NBA,,164,101,4671,4.9,9.1,0.539,0,0,0,4.9,9,0.542,1.3,2.2,0.572,6,9.9,15.9,1.3,1.8,1.8,1.4,4.5,11.1,NA,120,103
2 seasons,NA,NJN,NBA,,99,24,1443,2,3.9,0.509,0,0,0,2,3.9,0.514,0.8,1.4,0.59,5.4,8.8,14.2,1.5,1.9,1.9,1,4.9,4.8,NA,125,104
1 season,NA,PHI,NBA,,82,24,1247,2.7,5.7,0.468,0,0,NA,2.7,5.7,0.468,0.8,1.7,0.463,4.5,8.4,12.9,1.7,1.9,1.7,0.7,4.8,6.1,NA,118,109
