Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,LAS,ABA,PG,84,,35.2,5.3,12.5,.421,0.0,0.3,.120,5.2,12.2,.429,.423,6.3,7.6,.824,1.1,2.4,3.5,5.7,,,3.1,3.4,16.8
1970-71,23,FLO,ABA,PG,81,,41.9,9.2,21.3,.431,0.2,0.7,.288,9.0,20.6,.436,.435,8.6,9.9,.865,1.3,2.2,3.5,7.6,,,4.4,3.2,27.2
1971-72,24,FLO,ABA,PG,82,,36.3,6.7,15.3,.441,0.1,0.6,.229,6.6,14.7,.449,.445,7.5,8.5,.872,1.4,1.9,3.3,5.9,,,3.2,3.3,21.0
1972-73,25,CAR,ABA,PG,84,,26.5,5.7,11.2,.506,0.1,0.3,.393,5.6,10.9,.510,.512,6.0,6.9,.859,1.2,1.4,2.6,3.6,,,2.9,2.6,17.5
1973-74,26,CAR,ABA,PG,83,,31.2,6.0,13.0,.462,0.1,0.5,.233,5.9,12.5,.471,.467,5.9,6.7,.875,0.9,2.0,2.9,4.2,1.6,0.1,2.8,2.9,18.0
1974-75,27,DNA,ABA,PG,74,,33.3,6.5,13.5,.485,0.0,0.2,.188,6.5,13.2,.490,.486,6.4,7.2,.896,0.5,2.4,2.8,7.7,1.9,0.1,3.8,2.8,19.5
1975-76,28,VIR,ABA,PG,45,,36.8,6.8,15.9,.427,0.2,0.6,.269,6.6,15.4,.433,.432,5.6,6.3,.888,0.8,2.0,2.8,6.0,1.6,0.0,4.3,2.7,19.4
1976-77,29,TOT,NBA,PG,76,,18.9,2.9,7.2,.404,,,,2.9,7.2,.404,.404,3.8,4.4,.849,0.5,0.8,1.3,3.2,0.8,0.0,,1.7,9.6
1976-77,29,LAL,NBA,PG,12,,17.3,2.3,6.8,.329,,,,2.3,6.8,.329,.329,3.4,4.0,.854,0.5,0.8,1.3,1.8,0.9,0.1,,1.3,7.9
1976-77,29,SAS,NBA,PG,35,,17.3,2.7,6.8,.392,,,,2.7,6.8,.392,.392,3.5,4.2,.842,0.3,0.6,0.9,3.0,0.7,0.0,,1.7,8.8
1976-77,29,DEN,NBA,PG,29,,21.6,3.4,7.8,.444,,,,3.4,7.8,.444,.444,4.2,5.0,.854,0.7,1.0,1.7,4.0,0.9,0.0,,1.8,11.1
1977-78,30,DEN,NBA,PG,77,,12.8,1.9,4.3,.441,,,,1.9,4.3,.441,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1
1978-79,31,Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster),Did Not Play (dropped from roster)
1979-80,32,UTA,NBA,PG,48,,16.1,2.1,4.7,.441,0.0,0.2,.091,2.1,4.5,.458,.443,2.2,2.4,.897,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4
1980-81,33,CLE,NBA,PG,21,,6.1,0.6,1.9,.333,0.0,0.2,.200,0.6,1.6,.353,.346,1.2,1.7,.714,0.1,0.5,0.6,1.3,0.2,0.0,0.8,0.6,2.5
Career,NA,,TOT,,755,,28.6,5.3,11.8,.447,0.1,0.4,.245,5.2,11.5,.453,.451,5.5,6.4,.863,0.8,1.7,2.5,4.8,1.1,0.1,3.0,2.5,16.1
,NA,,ABA,,533,,34.3,6.6,14.6,.451,0.1,0.5,.253,6.5,14.1,.458,.455,6.7,7.7,.866,1.1,2.0,3.1,5.8,1.7,0.1,3.4,3.0,19.9
,NA,,NBA,,222,,15.0,2.2,5.1,.420,0.0,0.2,.125,2.2,5.1,.424,.421,2.7,3.1,.848,0.3,1.0,1.2,2.5,0.6,0.0,1.2,1.3,7.0
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,"DNA,DEN",ABA,,180,,22.6,4.1,8.6,.470,0.0,0.2,.188,4.0,8.5,.473,.471,4.3,4.9,.876,0.4,1.5,1.9,4.6,1.2,0.1,2.6,1.9,12.4
2 seasons,NA,CAR,ABA,,167,,28.9,5.8,12.1,.483,0.1,0.4,.296,5.7,11.7,.489,.488,5.9,6.8,.867,1.0,1.7,2.7,3.9,1.6,0.1,2.9,2.8,17.7
2 seasons,NA,FLO,ABA,,163,,39.1,8.0,18.3,.435,0.2,0.7,.262,7.8,17.6,.441,.439,8.0,9.2,.868,1.4,2.0,3.4,6.7,,,3.8,3.3,24.1
1 season,NA,LAS,ABA,,84,,35.2,5.3,12.5,.421,0.0,0.3,.120,5.2,12.2,.429,.423,6.3,7.6,.824,1.1,2.4,3.5,5.7,,,3.1,3.4,16.8
1 season,NA,UTA,NBA,,48,,16.1,2.1,4.7,.441,0.0,0.2,.091,2.1,4.5,.458,.443,2.2,2.4,.897,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4
1 season,NA,VIR,ABA,,45,,36.8,6.8,15.9,.427,0.2,0.6,.269,6.6,15.4,.433,.432,5.6,6.3,.888,0.8,2.0,2.8,6.0,1.6,0.0,4.3,2.7,19.4
1 season,NA,SAS,NBA,,35,,17.3,2.7,6.8,.392,,,,2.7,6.8,.392,.392,3.5,4.2,.842,0.3,0.6,0.9,3.0,0.7,0.0,,1.7,8.8
1 season,NA,CLE,NBA,,21,,6.1,0.6,1.9,.333,0.0,0.2,.200,0.6,1.6,.353,.346,1.2,1.7,.714,0.1,0.5,0.6,1.3,0.2,0.0,0.8,0.6,2.5
1 season,NA,LAL,NBA,,12,,17.3,2.3,6.8,.329,,,,2.3,6.8,.329,.329,3.4,4.0,.854,0.5,0.8,1.3,1.8,0.9,0.1,,1.3,7.9
