Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Clint Capela,,10.8,10.2,5.9,4.4,0,NA,NA,NA
Ed Sadowski,85.3,11.8,10.7,9.3,4.3,NA,NA,NA,NA
Nikola Jokić,79.5,11.8,10.7,9.7,6.7,NA,NA,NA,NA
Hassan Whiteside,79.2,10.3,9.5,6.3,5.3,5.3,0.2,0,NA
Jeff Ruland,77.1,10.1,9.3,7.8,3.5,3.3,0.3,0,0
Steve Stipanovich,70.6,9,6.9,5.9,5,3.6,NA,NA,NA
Steven Adams,69.6,9.7,9.1,6.5,6.5,4.1,2.9,NA,NA
George Ratkovicz,68.0,9.3,6,5.4,5.2,2.8,-0.1,NA,NA
Mike Lewis,67.4,7.9,7.5,4,3.8,1.1,0,NA,NA
Stan Miasek,66.4,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA
Myles Turner,65.2,8,6.3,4.7,3.1,NA,NA,NA,NA
