Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,28,GSW,NBA,C,10,10,334,74,163,0.454,0,1,0,74,162,0.457,0.454,41,51,0.804,16,49,65,19,14,25,31,42,189
1987-88,29,HOU,NBA,C,4,4,116,18,47,0.383,0,0,NA,18,47,0.383,0.383,8,10,0.8,8,11,19,2,3,1,5,12,44
1989-90,31,DEN,NBA,C,3,3,46,9,16,0.563,0,0,NA,9,16,0.563,0.563,2,2,1,1,8,9,3,1,5,1,6,20
1990-91,32,PHO,NBA,C,2,0,15,4,8,0.5,0,0,NA,4,8,0.5,0.5,0,1,0,0,1,1,2,0,1,1,0,8
Career,NA,,NBA,,19,17,511,105,234,0.449,0,1,0,105,233,0.451,0.449,51,64,0.797,25,69,94,26,18,32,38,60,261
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,GSW,NBA,,10,10,334,74,163,0.454,0,1,0,74,162,0.457,0.454,41,51,0.804,16,49,65,19,14,25,31,42,189
1 season,NA,HOU,NBA,,4,4,116,18,47,0.383,0,0,NA,18,47,0.383,0.383,8,10,0.8,8,11,19,2,3,1,5,12,44
1 season,NA,DEN,NBA,,3,3,46,9,16,0.563,0,0,NA,9,16,0.563,0.563,2,2,1,1,8,9,3,1,5,1,6,20
1 season,NA,PHO,NBA,,2,0,15,4,8,0.5,0,0,NA,4,8,0.5,0.5,0,1,0,0,1,1,2,0,1,1,0,8
