Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,23,POR,NBA,C,74,8,1007,3.5,8.2,0.428,0,0.1,0,3.5,8.1,0.434,3.1,4.5,0.688,3.3,5.8,9,0.8,1,3.4,1.6,5.9,10.1
1998-99,24,POR,NBA,C,43,0,545,3.8,8.5,0.45,0.1,0.1,1,3.8,8.5,0.445,2.2,4.4,0.507,3.2,6.7,9.9,1.3,1.5,3.7,1.8,6.6,10
1999-00,25,HOU,NBA,C,65,32,1581,4.9,9.2,0.537,0,0.1,0,4.9,9.1,0.543,3.1,4.7,0.649,2.3,6.5,8.9,0.6,0.8,2.8,1.6,4,12.9
2000-01,26,HOU,NBA,C,35,13,624,3.7,6.4,0.577,0,0,NA,3.7,6.4,0.577,2.1,3.3,0.649,2.7,5.4,8.1,0.6,0.7,1.8,1.4,5.1,9.5
2001-02,27,HOU,NBA,C,75,73,1917,3.6,6.1,0.583,0,0,0,3.6,6.1,0.585,2.1,3.6,0.582,3.3,6.6,9.9,0.5,0.8,1.8,1,3.9,9.3
2002-03,28,HOU,NBA,C,73,5,1247,3.8,7.4,0.52,0,0.1,0,3.8,7.3,0.528,1.9,3.6,0.532,3.8,8.5,12.4,0.6,1.1,2.5,1.6,5.1,9.6
2003-04,29,HOU,NBA,PF,69,67,1743,3.3,7.4,0.447,0,0,NA,3.3,7.4,0.447,2,2.9,0.676,3.2,6.6,9.7,1.5,1.1,2,1.7,4.2,8.6
2004-05,30,ORL,NBA,C,62,50,1525,3.8,7,0.539,0,0,NA,3.8,7,0.539,2.6,3.4,0.783,2.4,7.4,9.8,0.9,1.3,1.9,1.5,4,10.2
2005-06,31,TOT,NBA,C,27,0,333,3.9,9.1,0.429,0,0,NA,3.9,9.1,0.429,2.8,3.8,0.743,2.2,5.4,7.6,0.4,0.6,1.3,1.9,5.6,10.6
2005-06,31,ORL,NBA,C,23,0,299,3.7,8.7,0.431,0,0,NA,3.7,8.7,0.431,3.1,4.2,0.743,2.3,5.3,7.6,0.2,0.7,1.2,1.9,5.8,10.6
2005-06,31,DET,NBA,C,4,0,34,5.3,12.7,0.417,0,0,NA,5.3,12.7,0.417,0,0,NA,1.1,6.4,7.4,2.1,0,2.1,2.1,4.2,10.6
2006-07,32,NYK,NBA,C,18,0,95,2.7,8.3,0.318,0,0,NA,2.7,8.3,0.318,3,4.5,0.667,4.5,7.2,11.7,0,1.1,3.8,2.3,3.8,8.3
Career,NA,,NBA,,541,248,10617,3.8,7.5,0.507,0,0,0.077,3.8,7.5,0.509,2.4,3.8,0.644,3,6.7,9.7,0.8,1,2.3,1.5,4.6,10
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,HOU,NBA,,317,190,7112,3.9,7.4,0.525,0,0,0,3.9,7.3,0.528,2.3,3.7,0.617,3.1,6.8,9.9,0.8,0.9,2.2,1.5,4.3,10
2 seasons,NA,POR,NBA,,117,8,1552,3.6,8.3,0.436,0,0.1,0.25,3.6,8.2,0.438,2.8,4.5,0.625,3.2,6.1,9.3,1,1.2,3.5,1.6,6.1,10
2 seasons,NA,ORL,NBA,,85,50,1824,3.8,7.3,0.518,0,0,NA,3.8,7.3,0.518,2.7,3.5,0.775,2.4,7.1,9.5,0.8,1.2,1.8,1.6,4.3,10.3
1 season,NA,NYK,NBA,,18,0,95,2.7,8.3,0.318,0,0,NA,2.7,8.3,0.318,3,4.5,0.667,4.5,7.2,11.7,0,1.1,3.8,2.3,3.8,8.3
1 season,NA,DET,NBA,,4,0,34,5.3,12.7,0.417,0,0,NA,5.3,12.7,0.417,0,0,NA,1.1,6.4,7.4,2.1,0,2.1,2.1,4.2,10.6
