Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,SAC,NBA,C,76,55,1719,4.4,8.6,0.508,0,0,NA,4.4,8.6,0.508,2.2,3.5,0.636,3,5.2,8.2,1.4,1,3.1,2,4.7,11
1991-92,23,SAC,NBA,C,80,77,2291,3.9,7.1,0.549,0,0,0,3.9,7.1,0.551,2.1,3.5,0.613,3.1,6,9.1,0.9,0.7,3.4,1.9,4.4,10
1992-93,24,SAC,NBA,C,55,45,1211,5.2,9.5,0.545,0,0,0,5.2,9.5,0.547,3.1,4.9,0.624,3.3,5.7,9,1,1,2.6,1.7,5.7,13.5
1993-94,25,SAC,NBA,C,41,8,674,3.8,7.3,0.518,0,0,NA,3.8,7.3,0.518,2.1,3.6,0.588,3.6,6.3,9.9,0.6,1,2.6,1.8,5.8,9.7
1994-95,26,SAC,NBA,C,58,24,820,3.3,6.5,0.517,0,0,0,3.3,6.4,0.521,2.5,4.3,0.582,2.5,5.1,7.6,0.7,0.6,3.5,1.4,6.4,9.2
1995-96,27,SAC,NBA,C,73,26,1044,3.1,7.4,0.417,0,0,0,3.1,7.4,0.419,2.4,3.3,0.729,3,5.6,8.6,0.7,0.9,2.7,1.8,6,8.6
1996-97,28,SAC,NBA,C,46,8,581,3,5.8,0.511,0.1,0.2,0.667,2.9,5.6,0.505,1.2,2.3,0.541,3.5,4.3,7.9,1.2,0.9,2.4,2.1,8.1,7.3
1997-98,29,MIA,NBA,C,37,2,363,3.7,8.8,0.416,0,0,NA,3.7,8.8,0.416,1.5,2.6,0.577,2.9,6.9,9.8,0.5,0.7,2.7,1.8,7.2,8.8
1998-99,30,MIA,NBA,C,19,1,137,5.3,9.2,0.571,0,0,NA,5.3,9.2,0.571,1.1,3.2,0.333,3.7,5.5,9.2,0.5,0,2.9,4.7,8.4,11.6
1999-00,31,MIA,NBA,C,25,2,185,3.9,7.2,0.541,0,0,NA,3.9,7.2,0.541,5.1,7.4,0.684,2.1,7,9.1,0.4,0.4,3.1,1.9,8.2,12.8
2000-01,32,MIA,NBA,C,31,14,384,3,8,0.376,0,0,NA,3,8,0.376,1.1,2.3,0.48,2.2,5.6,7.8,0.5,0.7,1.7,2.2,6.3,7.1
Career,NA,,NBA,,541,262,9409,3.9,7.8,0.507,0,0,0.286,3.9,7.7,0.508,2.2,3.6,0.618,3,5.7,8.7,0.9,0.8,2.9,1.9,5.6,10.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,SAC,NBA,,429,243,8340,4,7.7,0.516,0,0,0.286,4,7.7,0.517,2.3,3.7,0.624,3.1,5.6,8.7,1,0.9,3,1.9,5.4,10.2
4 seasons,NA,MIA,NBA,,112,19,1069,3.7,8.3,0.443,0,0,NA,3.7,8.3,0.443,1.9,3.4,0.564,2.6,6.3,8.9,0.5,0.6,2.4,2.3,7.2,9.3
