Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,ANA,ABA,SG,77,NA,2441,439,1057,0.415,2,10,0.2,437,1047,0.417,0.416,518,639,0.811,NA,NA,433,364,310,292,1398
1968-69,24,TOT,ABA,SG,77,NA,2097,344,875,0.393,3,27,0.111,341,848,0.402,0.395,386,472,0.818,140,151,291,354,286,287,1077
1968-69,24,LAS,ABA,SG,17,NA,490,84,215,0.391,1,4,0.25,83,211,0.393,0.393,113,135,0.837,44,37,81,78,74,57,282
1968-69,24,MNP,ABA,SG,8,NA,54,6,21,0.286,0,0,NA,6,21,0.286,0.286,6,6,1,3,9,12,12,14,17,18
1968-69,24,INA,ABA,SG,24,NA,725,101,245,0.412,1,6,0.167,100,239,0.418,0.414,129,162,0.796,40,55,95,125,86,104,332
1968-69,24,NYA,ABA,SG,28,NA,828,153,394,0.388,1,17,0.059,152,377,0.403,0.39,138,169,0.817,53,50,103,139,112,109,445
1969-70,25,TOT,ABA,SG,72,NA,1058,127,352,0.361,5,14,0.357,122,338,0.361,0.368,170,199,0.854,74,63,137,167,151,174,429
1969-70,25,NYA,ABA,SG,11,NA,232,40,118,0.339,2,6,0.333,38,112,0.339,0.347,37,42,0.881,22,13,35,26,30,29,119
1969-70,25,PTP,ABA,SG,14,NA,306,36,107,0.336,1,3,0.333,35,104,0.337,0.341,56,64,0.875,23,25,48,55,39,48,129
1969-70,25,INA,ABA,SG,32,NA,381,41,93,0.441,2,4,0.5,39,89,0.438,0.452,50,60,0.833,23,18,41,69,63,73,134
1969-70,25,KEN,ABA,SG,15,NA,139,10,34,0.294,0,1,0,10,33,0.303,0.294,27,33,0.818,6,7,13,17,19,24,47
Career,NA,,ABA,,226,NA,5596,910,2284,0.398,10,51,0.196,900,2233,0.403,0.401,1074,1310,0.82,214,214,861,885,747,753,2904
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"ANA,LAS",ABA,,94,NA,2931,523,1272,0.411,3,14,0.214,520,1258,0.413,0.412,631,774,0.815,44,37,514,442,384,349,1680
2 seasons,NA,INA,ABA,,56,NA,1106,142,338,0.42,3,10,0.3,139,328,0.424,0.425,179,222,0.806,63,73,136,194,149,177,466
2 seasons,NA,NYA,ABA,,39,NA,1060,193,512,0.377,3,23,0.13,190,489,0.389,0.38,175,211,0.829,75,63,138,165,142,138,564
2 seasons,NA,"MNP,PTP",ABA,,22,NA,360,42,128,0.328,1,3,0.333,41,125,0.328,0.332,62,70,0.886,26,34,60,67,53,65,147
1 season,NA,KEN,ABA,,15,NA,139,10,34,0.294,0,1,0,10,33,0.303,0.294,27,33,0.818,6,7,13,17,19,24,47
