Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,25,LAL,NBA,SG,76,NA,23.2,4.4,9.6,0.452,1.8,2.5,0.708,NA,NA,2.9,2.7,NA,NA,2.5,10.5
1967-68,26,LAL,NBA,PG,81,NA,37.5,7.8,16.2,0.48,4.4,5.9,0.74,NA,NA,4.2,4.4,NA,NA,2.9,19.9
1968-69,27,PHI,NBA,SG,82,NA,26.1,5.4,11.3,0.478,2.7,3.8,0.697,NA,NA,3.2,3.6,NA,NA,2.3,13.5
1969-70,28,PHI,NBA,PG,76,NA,36.5,7.8,15.8,0.496,4.1,5.2,0.785,NA,NA,4,5,NA,NA,2.6,19.7
1970-71,29,PHI,NBA,PG,82,NA,39.6,8.1,16.3,0.496,5.1,6.5,0.787,NA,NA,4.8,5.4,NA,NA,2.6,21.3
1971-72,30,TOT,NBA,PG,77,NA,42.7,9.2,19.7,0.47,6.7,8.7,0.771,NA,NA,3.5,8,NA,NA,2.5,25.2
1971-72,30,PHI,NBA,PG,1,NA,42,11,16,0.688,7,11,0.636,NA,NA,3,7,NA,NA,3,29
1971-72,30,BAL,NBA,PG,76,NA,42.7,9.2,19.7,0.467,6.7,8.6,0.773,NA,NA,3.5,8,NA,NA,2.5,25.1
1972-73,31,BAL,NBA,PG,39,NA,37.9,7.7,15.3,0.507,2.8,3.5,0.81,NA,NA,3.3,7.1,NA,NA,2.8,18.3
1973-74,32,CAP,NBA,PG,56,NA,31.9,5.6,12.1,0.467,1.8,2.3,0.786,0.8,1.7,2.5,5.1,1.1,0.1,2.2,13.1
1974-75,33,SEA,NBA,PG,77,NA,32.2,5.9,11.9,0.495,2.1,2.5,0.834,0.8,2.3,3.1,5.6,1.4,0.1,2.4,13.9
1975-76,34,DET,NBA,SG,79,NA,20.1,3.2,7.3,0.433,1.3,1.5,0.862,0.3,1.4,1.7,2.8,0.8,0.1,2,7.6
Career,NA,,NBA,,725,NA,32.5,6.5,13.5,0.48,3.4,4.4,0.769,0.6,1.8,3.3,4.8,1.1,0.1,2.5,16.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,241,NA,34,7.1,14.4,0.492,4,5.2,0.763,NA,NA,4,4.7,NA,NA,2.5,18.2
3 seasons,NA,"BAL,CAP",NBA,,171,NA,38,7.7,16.2,0.476,4.2,5.4,0.78,0.8,1.7,3.1,6.8,1.1,0.1,2.5,19.6
2 seasons,NA,LAL,NBA,,157,NA,30.6,6.1,13,0.47,3.1,4.3,0.731,NA,NA,3.6,3.6,NA,NA,2.7,15.4
1 season,NA,DET,NBA,,79,NA,20.1,3.2,7.3,0.433,1.3,1.5,0.862,0.3,1.4,1.7,2.8,0.8,0.1,2,7.6
1 season,NA,SEA,NBA,,77,NA,32.2,5.9,11.9,0.495,2.1,2.5,0.834,0.8,2.3,3.1,5.6,1.4,0.1,2.4,13.9
