Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,LAL,NBA,PG,38,NA,201,6.3,17.9,0.35,NA,NA,NA,6.3,17.9,0.35,5,6.4,0.778,NA,NA,7,6.3,NA,NA,NA,3.8,17.6
1972-73,23,CLE,NBA,PG,80,NA,1392,5,10.9,0.454,NA,NA,NA,5,10.9,0.454,1.9,2.6,0.743,NA,NA,4.3,5.3,NA,NA,NA,2.8,11.9
1973-74,24,CLE,NBA,PG,81,NA,1642,5.2,11.9,0.433,NA,NA,NA,5.2,11.9,0.433,2,2.9,0.699,1.4,3.7,5,5,1.3,0.4,NA,3.3,12.4
1974-75,25,CLE,NBA,PG,74,NA,2691,4.9,10.3,0.48,NA,NA,NA,4.9,10.3,0.48,1.9,2.4,0.796,1.3,3.1,4.4,5.1,1.1,0.3,NA,2.6,11.8
1975-76,26,CLE,NBA,PG,82,NA,2835,5.2,11.3,0.466,NA,NA,NA,5.2,11.3,0.466,2.2,2.8,0.798,1.6,2.9,4.5,5.4,1.6,0.3,NA,2.7,12.7
1976-77,27,CLE,NBA,PG,60,NA,2045,4.5,10.4,0.434,NA,NA,NA,4.5,10.4,0.434,2,2.6,0.757,1.7,3.1,4.8,5.4,1.2,0.4,NA,2.2,11
1977-78,28,NYK,NBA,PG,79,NA,2009,3.9,8,0.48,NA,NA,NA,3.9,8,0.48,1.5,1.8,0.786,1.2,2.6,3.8,5.1,1.2,0.3,2,2.5,9.2
1978-79,29,NYK,NBA,PG,79,NA,2390,4.7,9.9,0.473,NA,NA,NA,4.7,9.9,0.473,2,2.6,0.76,1,2.4,3.4,5.7,1.1,0.2,2.1,2.2,11.3
1979-80,30,TOT,NBA,PG,79,NA,1789,4.3,9.1,0.476,0.1,0.6,0.226,4.2,8.4,0.494,1.7,2.3,0.743,1.1,2,3.1,5.8,1.1,0.2,2.2,2.7,10.4
1979-80,30,NYK,NBA,PG,22,NA,254,4.3,9.8,0.435,0.4,1.1,0.375,3.8,8.6,0.443,1.7,2.1,0.8,1.4,1.3,2.7,5.7,1.8,0.3,2.4,1.8,10.6
1979-80,30,WSB,NBA,PG,57,NA,1535,4.3,8.9,0.483,0.1,0.5,0.174,4.2,8.4,0.503,1.7,2.3,0.735,1,2.1,3.1,5.8,1,0.2,2.2,2.8,10.4
Career,NA,,NBA,,652,NA,16994,4.7,10.3,0.46,0.1,0.6,0.226,4.7,10.3,0.462,2,2.6,0.765,1.3,2.8,4.2,5.4,1.2,0.3,2.1,2.6,11.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CLE,NBA,,377,NA,10605,5,10.9,0.456,NA,NA,NA,5,10.9,0.456,2,2.7,0.766,1.5,3.1,4.6,5.3,1.3,0.3,NA,2.7,12
3 seasons,NA,NYK,NBA,,180,NA,4653,4.3,9.1,0.474,0.4,1.1,0.375,4.3,9,0.474,1.7,2.2,0.772,1.1,2.4,3.5,5.4,1.2,0.2,2.1,2.3,10.4
1 season,NA,WSB,NBA,,57,NA,1535,4.3,8.9,0.483,0.1,0.5,0.174,4.2,8.4,0.503,1.7,2.3,0.735,1,2.1,3.1,5.8,1,0.2,2.2,2.8,10.4
1 season,NA,LAL,NBA,,38,NA,201,6.3,17.9,0.35,NA,NA,NA,6.3,17.9,0.35,5,6.4,0.778,NA,NA,7,6.3,NA,NA,NA,3.8,17.6
