Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,23,NJN,NBA,C,17,0,227,2.8,7.6,0.364,0,0,NA,2.8,7.6,0.364,5.7,8.7,0.658,5.5,3.9,9.4,1.6,1.1,1.4,2.8,11,11.2,NA,102,105
2002-03,24,NJN,NBA,C,20,20,529,3.3,9.2,0.363,0,0.2,0,3.3,9,0.371,5.1,6.2,0.836,5.1,7.5,12.6,1.7,1.3,1.2,1.8,7.5,11.8,NA,111,99
2003-04,25,NJN,NBA,C,11,11,266,2.8,7.7,0.368,0,0,NA,2.8,7.7,0.368,2.4,3.2,0.75,3.7,5.3,8.9,3.4,0.6,2,3,9.9,8.1,NA,90,97
2004-05,26,NJN,NBA,C,4,4,128,1.6,7,0.235,0,0,NA,1.6,7,0.235,1.2,3.3,0.375,3.7,7,10.7,0.4,0.8,0,2.1,7.8,4.5,NA,65,115
2005-06,27,NJN,NBA,C,11,11,302,1.6,4.5,0.36,0,0,NA,1.6,4.5,0.36,2.3,4,0.591,3.6,6.3,9.9,0.5,0.9,0.4,1.6,9.9,5.6,NA,96,109
2006-07,28,NJN,NBA,PF,12,12,329,2,3.5,0.571,0,0,NA,2,3.5,0.571,0.7,1.8,0.364,2.6,3.9,6.6,0.3,1.2,0.5,2.6,7.4,4.6,NA,80,102
2009-10,31,ATL,NBA,C,3,0,10,16.8,28,0.6,0,0,NA,16.8,28,0.6,0,0,NA,16.8,11.2,28,0,0,0,5.6,39.2,33.6,NA,111,111
2010-11,32,ATL,NBA,C,12,9,158,3.2,4.9,0.643,0,0,NA,3.2,4.9,0.643,1.1,2.8,0.375,2.1,3.9,6,0.4,1.8,1.1,1.8,11,7.4,NA,100,107
2011-12,33,ATL,NBA,C,5,4,85,3.9,7.1,0.545,0,0,NA,3.9,7.1,0.545,0,0,NA,2.6,5.1,7.7,0,0.6,0,6.4,10.3,7.7,NA,59,100
Career,NA,,NBA,,95,71,2034,2.7,6.7,0.4,0,0.1,0,2.7,6.7,0.403,2.9,4.3,0.677,4,5.7,9.6,1.3,1.1,1,2.4,9.1,8.3,NA,95,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,NJN,NBA,,75,58,1781,2.5,6.8,0.373,0,0.1,0,2.5,6.7,0.377,3.2,4.7,0.692,4.1,5.8,9.9,1.4,1.1,1,2.3,8.7,8.3,NA,97,103
3 seasons,NA,ATL,NBA,,20,13,253,3.9,6.6,0.6,0,0,NA,3.9,6.6,0.6,0.7,1.8,0.375,2.8,4.6,7.4,0.2,1.3,0.7,3.5,11.8,8.5,NA,84,105
