Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2007-08,20,MEM,NBA,PG,53,46,1381,6.9,16.1,0.428,1.1,3.3,0.33,5.8,12.8,0.453,3.3,4.5,0.732,0.8,4.3,5.1,8.1,1.6,0.1,3.2,3.1,18.2,NA,103,113
2008-09,21,MEM,NBA,PG,82,61,2508,6.9,15.5,0.442,1.9,4.6,0.406,5,10.9,0.458,3.4,4.2,0.817,0.5,5.3,5.9,7.5,1.9,0.2,3,3.1,19,NA,109,111
2009-10,22,MEM,NBA,PG,80,80,2569,7.4,16.6,0.445,1.6,4.2,0.387,5.7,12.3,0.464,2.8,3.7,0.743,0.6,3.2,3.8,8.5,2.2,0.2,3.4,3.6,19.2,NA,108,112
2010-11,23,MEM,NBA,PG,81,81,2872,7.7,17.3,0.444,1.5,3.9,0.369,6.2,13.4,0.466,3.3,4.5,0.733,0.6,3.9,4.5,9.6,2.6,0.3,3.2,3.3,20.1,NA,108,107
2011-12,24,MEM,NBA,PG,62,61,2174,7.2,16.6,0.433,1.5,3.9,0.377,5.7,12.8,0.45,3.3,3.8,0.861,0.5,3.3,3.8,9.8,3.3,0.3,3,3.2,19.2,NA,110,102
2012-13,25,MEM,NBA,PG,80,80,2757,8.2,18.5,0.44,2.1,5.8,0.362,6.1,12.7,0.476,4.6,5.6,0.83,0.8,3.6,4.4,9.6,3.4,0.5,3.7,3.4,23,NA,111,100
2013-14,26,MEM,NBA,PG,73,73,2446,10.1,22.5,0.45,2.3,6.4,0.361,7.8,16.1,0.484,4.9,6,0.815,0.9,3.8,4.7,9.6,2.4,0.3,3.3,3.1,27.4,NA,113,106
2014-15,27,MEM,NBA,PG,70,70,2225,9.2,20.7,0.446,2.5,6.5,0.386,6.7,14.2,0.473,5,5.8,0.859,0.7,4.2,4.9,8.8,2.1,0.3,3.7,3.3,26,NA,110,104
2015-16,28,MEM,NBA,PG,56,56,1761,8.6,20.3,0.422,2.3,6.3,0.363,6.3,14.1,0.449,5.6,6.7,0.834,0.8,4,4.8,10,2,0.5,2.5,2.9,25,NA,115,110
2016-17,29,MEM,NBA,PG,69,68,2292,10.5,22.9,0.46,3.9,9.5,0.408,6.7,13.4,0.497,7.2,8.4,0.859,0.7,4.8,5.5,9.8,2.1,0.4,3.5,2.9,32.1,NA,121,108
2017-18,30,MEM,NBA,PG,12,12,373,8.7,22.8,0.381,3.3,10.4,0.312,5.4,12.3,0.44,7.2,8.9,0.803,0,3.7,3.7,6.6,1.6,0.4,2.4,3.3,27.8,NA,108,114
2018-19,31,MEM,NBA,PG,70,70,2342,10.4,23.8,0.438,3.3,9,0.364,7.1,14.7,0.483,7.3,8.6,0.845,0.8,4.2,5.1,9.5,2,0.5,2.8,2.6,31.4,NA,117,111
2019-20,32,UTA,NBA,PG,41,35,1171,8.2,20.2,0.405,3.3,8.9,0.376,4.9,11.4,0.429,3.9,4.9,0.795,1.1,4.4,5.5,7.4,1.3,0.2,3.2,3.8,23.6,NA,108,112
Career,NA,,NBA,,829,793,26871,8.5,19.3,0.439,2.3,6,0.375,6.2,13.3,0.468,4.6,5.6,0.818,0.7,4.1,4.8,9.1,2.3,0.3,3.2,3.2,23.8,NA,112,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,MEM,NBA,,788,758,25700,8.5,19.2,0.441,2.2,5.9,0.375,6.3,13.4,0.47,4.6,5.7,0.819,0.7,4,4.7,9.2,2.4,0.3,3.2,3.1,23.8,NA,112,108
1 season,NA,UTA,NBA,,41,35,1171,8.2,20.2,0.405,3.3,8.9,0.376,4.9,11.4,0.429,3.9,4.9,0.795,1.1,4.4,5.5,7.4,1.3,0.2,3.2,3.8,23.6,NA,108,112
