Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1991-92,23,ORL,NBA,PG,51,1,741,5.1,12.8,0.399,0.7,2.4,0.27,4.4,10.3,0.429,6,6.9,0.875,1.2,4,5.2,9.3,3,0.1,4.9,6.2,16.9,NA,102,110
1992-93,24,TOT,NBA,PG,10,0,105,6.6,11.4,0.583,0,1.4,0,6.6,10,0.667,7.6,10,0.762,0.5,2.8,3.3,7.6,2.8,0,3.8,8.5,20.9,NA,121,108
1992-93,24,ORL,NBA,PG,9,0,102,6.4,11.2,0.565,0,1.5,0,6.4,9.8,0.65,7.8,10.3,0.762,0.5,2.9,3.4,7.8,2.9,0,3.9,8.3,20.5,NA,120,107
1992-93,24,WSB,NBA,PG,1,0,3,16.4,16.4,1,0,0,NA,16.4,16.4,1,0,0,NA,0,0,0,0,0,0,0,16.4,32.8,NA,200,118
1993-94,25,BOS,NBA,PG,51,0,467,4.3,10.1,0.426,1.2,4.1,0.289,3.1,6,0.518,2.8,4.1,0.684,0.9,3.9,4.7,9.2,2.4,0.2,4.1,5.1,12.6,NA,100,110
Career,NA,,NBA,,112,1,1313,4.9,11.7,0.421,0.8,2.9,0.269,4.1,8.8,0.472,5,6.1,0.816,1,3.8,4.9,9.2,2.8,0.2,4.5,6,15.7,NA,103,109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ORL,NBA,,60,1,843,5.2,12.6,0.417,0.6,2.3,0.25,4.7,10.2,0.455,6.2,7.3,0.856,1.1,3.8,4.9,9.1,3,0.1,4.8,6.5,17.3,NA,104,109
1 season,NA,BOS,NBA,,51,0,467,4.3,10.1,0.426,1.2,4.1,0.289,3.1,6,0.518,2.8,4.1,0.684,0.9,3.9,4.7,9.2,2.4,0.2,4.1,5.1,12.6,NA,100,110
1 season,NA,WSB,NBA,,1,0,3,16.4,16.4,1,0,0,NA,16.4,16.4,1,0,0,NA,0,0,0,0,0,0,0,16.4,32.8,NA,200,118
