Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1978-79,22,WSB,NBA,C,12,63,7.8,0.267,NA,0,18.3,21.3,19.7,10.2,1.5,0,21.1,11.9,NA,-0.1,0.1,0,0.003,NA,-2.6,-0.6,-3.2,0
1979-80,23,WSB,NBA,C,2,9,29.5,0.85,0,0.4,23.2,12.3,17.9,0,0,0,33.8,40.4,NA,0,0,0,0.063,NA,1.9,-1.1,0.8,0
1980-81,24,SAS,NBA,C,7,161,16.7,0.519,0,0.236,9.2,27.3,18.3,13.8,1.2,2.9,15.3,18.5,NA,0.2,0.1,0.3,0.079,NA,-0.4,1.4,1,0.1
1981-82,25,SAS,NBA,C,9,258,16.1,0.504,0,0.321,14.7,20,17.2,9.3,1.1,1.9,14.2,21.5,NA,0.2,0.2,0.4,0.08,NA,0.5,-0.7,-0.2,0.1
1984-85,28,CHI,NBA,C,4,77,16.6,0.698,0,0.286,13.5,22.7,17.8,6,1.3,0.8,17.5,15.4,NA,0.2,0.1,0.2,0.148,NA,2.2,0.8,3,0.1
1985-86,29,CHI,NBA,C,3,103,13,0.585,0,0.138,6.4,26.8,15.6,8.6,0.5,1.2,16.3,15,NA,0.1,0,0.1,0.037,NA,1.3,-0.1,1.1,0.1
1986-87,30,CHI,NBA,C,3,122,8.5,0.52,0,0.409,6.6,15.7,10.7,8.8,0.4,1.5,21.2,12.3,NA,0,0,0,-0.007,NA,-1.3,-0.3,-1.6,0
1987-88,31,CHI,NBA,C,10,308,5,0.373,0,0.171,5.2,15.4,10.2,3.6,0.5,1.6,12.8,13.4,NA,-0.5,0.4,-0.1,-0.01,NA,-4.3,-0.9,-5.2,-0.2
1988-89,32,CHI,NBA,C,16,219,8.3,0.455,0,0.266,7.8,13.7,10.9,6.5,1,1.9,13.3,17.1,NA,-0.1,0.3,0.1,0.027,NA,-3.3,-0.8,-4.1,-0.1
1990-91,34,SEA,NBA,C,2,12,13.5,0.727,0,0.333,0,10.1,5,0,0,0,0,12.3,NA,0,0,0,0.168,NA,1.3,-1.5,-0.2,0
Career,NA,,NBA,,68,1332,11.1,0.489,0,0.25,9.4,19,14,7.7,0.9,1.7,15.2,16.4,NA,0,1.1,1.1,0.04,NA,-1.5,-0.4,-1.8,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CHI,NBA,,36,829,8.5,0.475,0,0.231,7,17.1,11.8,6,0.7,1.5,14.9,14.6,NA,-0.4,0.8,0.4,0.02,NA,-2.3,-0.5,-2.8,-0.2
2 seasons,NA,SAS,NBA,,16,419,16.3,0.509,0,0.292,12.6,22.8,17.6,11.1,1.1,2.3,14.6,20.4,NA,0.4,0.3,0.7,0.079,NA,0.1,0.1,0.3,0.2
2 seasons,NA,WSB,NBA,,14,72,10.5,0.431,0,0.1,18.9,20.2,19.5,8.9,1.3,0,25.1,15.4,NA,-0.1,0.1,0,0.01,NA,-2.1,-0.7,-2.7,0
1 season,NA,SEA,NBA,,2,12,13.5,0.727,0,0.333,0,10.1,5,0,0,0,0,12.3,NA,0,0,0,0.168,NA,1.3,-1.5,-0.2,0
