,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2013-14,23,HOU,NBA,SF,7,34,.429,21.6,.214,.000,.143,.000,.071,.786,.667,,.500,,1.000,.364,1.000,.000,0,1.000,.364,.500,0,0
2014-15,24,PHI,NBA,SF,70,1956,.396,17.5,.410,.206,.112,.033,.058,.590,.426,.590,.271,.280,.227,.374,.576,.012,8,.910,.188,.405,2,0
2015-16,25,PHI,NBA,SF,67,1903,.385,18.5,.323,.190,.083,.027,.024,.677,.452,.593,.237,.211,.353,.353,.558,.015,9,.947,.137,.333,3,1
2016-17,26,PHI,NBA,SF,67,2119,.399,16.2,.437,.288,.101,.016,.031,.563,.484,.588,.257,.333,.348,.333,.652,.027,14,.942,.080,.303,0,0
2017-18,27,PHI,NBA,SF,80,2532,.413,18.9,.342,.178,.069,.031,.063,.658,.497,.664,.379,.192,.302,.369,.810,.037,27,.970,.113,.387,4,0
2018-19,28,TOT,NBA,SF,35,1203,.431,18.6,.378,.171,.094,.041,.072,.622,.518,.677,.412,.333,.385,.378,.746,.039,12,.941,.120,.444,0,0
2018-19,28,PHI,NBA,SF,13,440,.427,19.7,.342,.137,.094,.034,.077,.658,.500,.813,.364,.250,.222,.390,.900,.043,5,1.000,.065,.000,0,0
2018-19,28,MIN,NBA,SF,22,763,.433,18.1,.396,.188,.094,.045,.069,.604,.526,.630,.435,.364,.471,.372,.686,.037,7,.909,.149,.545,0,0
2019-20,29,TOT,NBA,PF,62,1867,.432,18.6,.346,.221,.091,.014,.020,.654,.589,.671,.441,.444,.462,.349,.780,.017,10,.919,.118,.380,4,0
2019-20,29,MIN,NBA,PF,48,1411,.435,18.2,.371,.232,.097,.018,.024,.629,.587,.661,.479,.444,.417,.346,.769,.016,7,.889,.093,.379,3,0
2019-20,29,HOU,NBA,PF,14,456,.421,19.9,.263,.184,.072,.000,.007,.737,.600,.714,.273,,1.000,.357,.833,.020,3,1.000,.188,.381,1,0
Career,,,NBA,,388,11614,.407,18.0,.372,.211,.091,.026,.044,.628,.489,.623,.321,.274,.322,.358,.688,.024,80,.940,.128,.377,13,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHI,NBA,,297,8950,.400,17.9,.376,.212,.091,.027,.046,.624,.466,.612,.286,.244,.288,.359,.665,.024,63,.946,.127,.360,9,1
2 seasons,,MIN,NBA,,70,2174,.435,18.2,.379,.217,.096,.027,.039,.621,.566,.652,.465,.400,.448,.354,.742,.023,14,.896,.111,.451,3,0
2 seasons,,HOU,NBA,,21,490,.422,20.1,.259,.169,.078,.000,.012,.741,.605,.714,.308,,1.000,.358,.846,.018,3,1.000,.203,.400,1,0
