Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2013-14,22,HOU,NBA,SG,5,1,75,10,20.6,0.484,8,16.6,0.48,2,4,0.5,0,0,NA,0,2.7,2.7,3.3,0,0,2,4,27.9,NA,126,114
2014-15,23,TOT,NBA,SG,47,0,397,7.8,21.1,0.37,5.5,15.1,0.364,2.3,6,0.383,1.4,1.7,0.846,1,3.2,4.2,2.8,0.8,0.1,2.6,5.1,22.5,NA,99,112
2014-15,23,HOU,NBA,SG,17,0,108,6.9,21.6,0.319,6,19.8,0.302,0.9,1.8,0.5,1.4,1.8,0.75,0,2.8,2.8,1.8,0,0,2.3,6.4,21.2,NA,92,111
2014-15,23,MIN,NBA,SG,19,0,154,6.3,19.5,0.322,4.3,12.9,0.333,2,6.6,0.3,0.7,0.7,1,2,4.3,6.3,4.3,1,0,2.6,4.6,17.5,NA,92,116
2014-15,23,CHO,NBA,SG,11,0,135,10.3,22.6,0.458,6.5,13.8,0.472,3.8,8.8,0.435,2.3,2.7,0.857,0.8,2.3,3.1,1.9,1.1,0.4,2.7,4.6,29.5,NA,110,108
2015-16,24,CHO,NBA,SG,43,0,476,9.4,19.7,0.476,6.2,12.9,0.484,3.2,6.9,0.462,0.5,0.9,0.556,0.7,5.3,6,2.2,1.2,0.3,2.5,4.2,25.5,NA,110,107
2016-17,25,MEM,NBA,SG,67,3,1183,8.1,21.8,0.374,6.1,15.6,0.389,2.1,6.2,0.336,1.9,2.4,0.796,1,3.4,4.4,2,0.9,0.2,2,4,24.2,NA,104,112
2017-18,26,PHO,NBA,SG,79,15,1622,6.8,17,0.403,5.4,13.5,0.4,1.4,3.5,0.419,1.7,1.9,0.875,0.4,3.4,3.7,1.4,0.8,0.1,1.7,4,20.7,NA,109,117
2018-19,27,PHO,NBA,SG,51,1,760,7.1,17.3,0.411,4.6,12.2,0.381,2.5,5.1,0.481,1.1,1.4,0.783,0.8,3.8,4.6,1.6,1.6,0.3,1.7,5,20,NA,104,118
2019-20,28,TOT,NBA,SG,42,0,457,6.5,16.6,0.39,4.2,11.8,0.354,2.3,4.8,0.478,1,1.7,0.625,1.2,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.1,NA,107,111
2019-20,28,LAL,NBA,SG,41,0,456,6.5,16.5,0.392,4.2,11.7,0.357,2.3,4.8,0.478,1,1.7,0.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.2,NA,108,111
2019-20,28,DEN,NBA,SG,1,0,1,0,49.4,0,0,49.4,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,119
Career,NA,,NBA,,334,20,4970,7.5,18.7,0.401,5.4,13.7,0.396,2.1,5,0.414,1.4,1.8,0.799,0.7,3.6,4.4,1.8,1,0.2,1.8,4.2,21.9,NA,106,114
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,130,16,2382,6.9,17.1,0.406,5.2,13.1,0.394,1.8,4,0.444,1.5,1.7,0.851,0.5,3.5,4,1.5,1,0.2,1.7,4.3,20.5,NA,108,117
1 season,NA,MEM,NBA,,67,3,1183,8.1,21.8,0.374,6.1,15.6,0.389,2.1,6.2,0.336,1.9,2.4,0.796,1,3.4,4.4,2,0.9,0.2,2,4,24.2,NA,104,112
2 seasons,NA,CHO,NBA,,54,0,611,9.6,20.3,0.472,6.3,13.1,0.481,3.3,7.3,0.455,0.9,1.3,0.688,0.7,4.6,5.4,2.1,1.2,0.3,2.6,4.3,26.4,NA,110,107
1 season,NA,LAL,NBA,,41,0,456,6.5,16.5,0.392,4.2,11.7,0.357,2.3,4.8,0.478,1,1.7,0.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.2,NA,108,111
2 seasons,NA,HOU,NBA,,22,1,183,8.2,21.2,0.385,6.8,18.5,0.368,1.4,2.7,0.5,0.8,1.1,0.75,0,2.7,2.7,2.4,0,0,2.2,5.4,23.9,NA,105,112
1 season,NA,MIN,NBA,,19,0,154,6.3,19.5,0.322,4.3,12.9,0.333,2,6.6,0.3,0.7,0.7,1,2,4.3,6.3,4.3,1,0,2.6,4.6,17.5,NA,92,116
1 season,NA,DEN,NBA,,1,0,1,0,49.4,0,0,49.4,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,119
