Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1976-77,21,POR,NBA,SG,16,436,13.6,0.537,NA,0.398,2.5,5.5,4,15.6,2.9,0.4,NA,NA,NA,0.4,0.6,1,0.113,NA,2,0.1,2.1,0.5
1977-78,22,POR,NBA,SG,6,201,10.7,0.499,NA,0.303,1.7,3.7,2.7,10,0.2,0.6,11.3,20.8,NA,0.1,0.1,0.2,0.037,NA,-0.3,-2,-2.2,0
1980-81,25,IND,NBA,PG,2,74,17.7,0.491,0.029,0.371,2.4,9.7,5.6,25.1,1.3,0,2.4,22,NA,0.2,0,0.2,0.161,NA,2.4,0.2,2.6,0.1
1982-83,27,ATL,NBA,SG,3,113,14,0.452,0.019,0.192,0.9,3.6,2.3,42.4,0,0,8.1,24,NA,0.1,0.1,0.1,0.063,NA,3.1,-2.3,0.9,0.1
1983-84,28,ATL,NBA,PG,5,131,11.9,0.434,0,0.109,1.7,8.1,4.6,33.9,0.4,0,6.5,20.3,NA,0,0,0.1,0.025,NA,0,-1.8,-1.7,0
1984-85,29,CLE,NBA,PG,3,50,29.3,0.769,0.063,0.313,2.5,11.8,7.2,42.4,4.7,0,9.9,16.5,NA,0.3,0.1,0.4,0.343,NA,8.3,6.1,14.4,0.2
1985-86,30,ATL,NBA,SG,8,65,9.8,0.411,0,0.16,3.4,6.8,5.1,30.9,1.5,0,15.7,20.5,NA,-0.1,0,0,-0.022,NA,-1.2,-1.7,-2.9,0
Career,NA,,NBA,,43,1070,13.7,0.503,0.008,0.291,2.1,5.9,4,22.4,1.7,0.3,8.9,21,NA,1,1,2,0.089,NA,1.6,-0.6,1,0.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,POR,NBA,,22,637,12.7,0.524,NA,0.364,2.3,4.9,3.6,13.8,2,0.4,11.3,20.8,NA,0.5,0.7,1.2,0.089,NA,1.3,-0.5,0.7,0.4
3 seasons,NA,ATL,NBA,,16,309,12.2,0.437,0.008,0.152,1.8,6.2,3.9,36.4,0.5,0,9,21.7,NA,0,0.2,0.2,0.029,NA,0.9,-1.9,-1,0.1
1 season,NA,CLE,NBA,,3,50,29.3,0.769,0.063,0.313,2.5,11.8,7.2,42.4,4.7,0,9.9,16.5,NA,0.3,0.1,0.4,0.343,NA,8.3,6.1,14.4,0.2
1 season,NA,IND,NBA,,2,74,17.7,0.491,0.029,0.371,2.4,9.7,5.6,25.1,1.3,0,2.4,22,NA,0.2,0,0.2,0.161,NA,2.4,0.2,2.6,0.1
