Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Paul Davis,,0.2,0.2,0,0,NA
Patrick O'Bryant,70.8,0.3,0.2,0,0,NA
Tom Riker,67.9,0.2,0.2,0,NA,NA
Chris Engler,51.8,0.3,0.2,0.2,0,0
Alan Ogg,48.3,0.5,0.3,0,NA,NA
Matt Fish,45.0,0.4,0.2,0,NA,NA
Joe Cooper,35.9,0.2,0.1,0,NA,NA
Daniel Orton,33.4,0.5,0.3,0.3,NA,NA
Mouhamed Sene,31.0,0.2,0.2,0,NA,NA
George Zídek,29.8,0.6,0.3,0,NA,NA
Rich King,27.4,0.2,0.1,0,-0.1,NA
