Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Johnny Dawkins,,6.4,4.3,3.6,2,1.7,1.1,1.1,1,0.6,NA,NA
Chris Whitney,86.1,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Aaron Brooks,85.3,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,NA
Isaiah Rider,84.5,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA,NA
George Senesky,84.2,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA
Darwin Cook,83.9,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA
Chris Childs,83.0,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA
Martell Webster,82.3,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0,NA
Delonte West,82.2,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA
Larry Drew,82.0,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA
Jerry Sichting,82.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
