,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1992-93,23,MIL,NBA,,13,23,3,6,11,21,9,11,6,7,10,5,3,3,6,6,30,27.5
1993-94,24,MIL,NBA,,11,25,2,6,10,22,11,16,6,9,11,6,7,4,5,6,27,23.2
1994-95,25,MIL,NBA,,12,23,5,11,10,18,13,16,5,7,10,5,6,4,6,6,34,30.3
1995-96,26,TOT,NBA,,11,21,6,10,6,14,14,18,5,6,8,5,4,4,5,6,41,34.2
1995-96,26,MIL,NBA,,7,15,2,7,6,12,7,7,5,5,8,2,2,2,5,6,22,13.4
1995-96,26,BOS,NBA,,11,21,6,10,6,14,14,18,4,6,8,5,4,4,4,6,41,34.2
1996-97,27,BOS,NBA,43:56,12,29,6,11,9,20,12,15,5,7,11,6,5,4,5,5,33,27.2
1997-98,28,MIA,NBA,21:09,5,13,1,4,4,9,3,4,2,1,2,3,3,0,2,5,13,10.4
1999-00,30,PHO,NBA,32:24,6,17,5,9,3,10,8,8,3,6,7,5,4,3,5,6,20,17.7
2000-01,31,MIN,NBA,27:09,4,9,2,7,3,4,2,3,2,3,4,3,3,2,2,4,11,7.2
Career,,,,43:56,13,29,6,11,11,22,14,18,6,9,11,6,7,4,6,6,41,34.2
4 Seasons,,MIL,NBA,,13,25,5,11,11,22,13,16,6,9,11,6,7,4,6,6,34,30.3
2 Seasons,,BOS,NBA,43:56,12,29,6,11,9,20,14,18,5,7,11,6,5,4,5,6,41,34.2
1 Season,,PHO,NBA,32:24,6,17,5,9,3,10,8,8,3,6,7,5,4,3,5,6,20,17.7
1 Season,,MIN,NBA,27:09,4,9,2,7,3,4,2,3,2,3,4,3,3,2,2,4,11,7.2
1 Season,,MIA,NBA,21:09,5,13,1,4,4,9,3,4,2,1,2,3,3,0,2,5,13,10.4
