,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,21,ATL,NBA,SG,56,974,.377,17.6,.479,.173,.094,.068,.147,.521,.393,.500,.333,.192,.393,.362,.444,.010,3,.819,.146,.310,3,0
2018-19,22,TOT,NBA,SG,48,698,.405,16.2,.500,.242,.114,.038,.106,.500,.477,.609,.333,.300,.393,.333,.524,.004,1,.932,.205,.296,0,0
2018-19,22,ATL,NBA,SG,27,251,.360,13.9,.562,.326,.135,.034,.067,.438,.440,.655,.167,.000,.167,.256,.727,.011,1,1.000,.231,.111,0,0
2018-19,22,MEM,NBA,SG,21,447,.429,17.3,.469,.200,.103,.040,.126,.531,.500,.571,.444,.429,.455,.366,.415,.000,0,.912,.194,.389,0,0
Career,,,NBA,,104,1672,.389,17.0,.488,.201,.102,.056,.130,.512,.429,.554,.333,.222,.393,.350,.481,.008,4,.862,.169,.304,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ATL,NBA,,83,1225,.374,16.9,.495,.202,.102,.062,.132,.505,.403,.547,.292,.172,.371,.345,.511,.011,4,.841,.160,.263,3,0
1 season,,MEM,NBA,,21,447,.429,17.3,.469,.200,.103,.040,.126,.531,.500,.571,.444,.429,.455,.366,.415,.000,0,.912,.194,.389,0,0
