Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,NJN,NBA,SG,44,585,12.2,0.531,0.068,0.352,2.8,7.4,5.1,14.8,1.1,1,13.2,18.7,NA,0.4,0.2,0.6,0.046,NA,-1.3,-1.2,-2.5,-0.1
2009-10,23,NJN,NBA,SF,67,1730,11.5,0.512,0.094,0.274,2.9,10.7,6.6,9.5,1.7,0.8,13.1,19.6,NA,-0.2,0.9,0.7,0.02,NA,-2.2,-0.9,-3.2,-0.5
2010-11,24,MIL,NBA,SF,44,884,11.5,0.517,0.168,0.326,0.9,11,5.8,9.8,1.8,1.2,10.1,18.4,NA,0.4,1.3,1.6,0.088,NA,-2.5,1,-1.4,0.1
2012-13,26,DAL,NBA,SG,6,63,8.3,0.462,0.286,0.714,0,8.7,4.4,8.9,1.6,0,5.2,14,NA,0,0,0.1,0.041,NA,-3.9,0.2,-3.8,0
2013-14,27,CHA,NBA,SF,49,1016,12.2,0.588,0.524,0.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,NA,1.1,1.2,2.4,0.113,NA,-1.1,0.5,-0.5,0.4
2014-15,28,LAC,NBA,SG,12,103,3.3,0.387,0.333,0.381,1.1,11.8,6.6,5,0.5,0,0,10.7,NA,0,0.1,0,0.02,NA,-5.6,-1.2,-6.8,-0.1
Career,NA,,NBA,,222,4381,11.5,0.528,0.195,0.312,2.1,10.5,6.2,9.8,1.5,1,11.8,17.8,NA,1.7,3.6,5.4,0.059,NA,-2,-0.2,-2.2,-0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NJN,NBA,,111,2315,11.6,0.516,0.088,0.292,2.9,9.8,6.2,10.9,1.5,0.9,13.2,19.4,NA,0.2,1.1,1.3,0.027,NA,-2,-1,-3,-0.6
1 season,NA,CHA,NBA,,49,1016,12.2,0.588,0.524,0.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,NA,1.1,1.2,2.4,0.113,NA,-1.1,0.5,-0.5,0.4
1 season,NA,MIL,NBA,,44,884,11.5,0.517,0.168,0.326,0.9,11,5.8,9.8,1.8,1.2,10.1,18.4,NA,0.4,1.3,1.6,0.088,NA,-2.5,1,-1.4,0.1
1 season,NA,LAC,NBA,,12,103,3.3,0.387,0.333,0.381,1.1,11.8,6.6,5,0.5,0,0,10.7,NA,0,0.1,0,0.02,NA,-5.6,-1.2,-6.8,-0.1
1 season,NA,DAL,NBA,,6,63,8.3,0.462,0.286,0.714,0,8.7,4.4,8.9,1.6,0,5.2,14,NA,0,0,0.1,0.041,NA,-3.9,0.2,-3.8,0
