Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1956-57,26,MNL,NBA,C,5,177,15.1,0.494,0.474,NA,NA,NA,3.9,NA,0.3,0.1,0.3,0.095
1957-58,27,DET,NBA,C,7,286,12.7,0.442,0.554,NA,NA,NA,2.2,NA,0.2,0.1,0.3,0.054
1958-59,28,DET,NBA,C,3,113,16.5,0.574,0.567,NA,NA,NA,4.2,NA,0.3,0,0.3,0.138
1959-60,29,DET,NBA,C,2,78,24.1,0.59,0.71,NA,NA,NA,4.2,NA,0.4,0.1,0.5,0.284
1960-61,30,DET,NBA,C,5,152,9.5,0.41,0.34,NA,NA,NA,9.3,NA,-0.1,0.1,0,0
1961-62,31,DET,NBA,C,10,347,14.6,0.526,0.67,NA,NA,NA,8.5,NA,0.6,0.1,0.7,0.093
1962-63,32,DET,NBA,C,3,8,18.6,1.136,NA,NA,NA,NA,31.2,NA,0.1,0,0.1,0.414
Career,NA,,NBA,,35,1161,14.4,0.494,0.562,NA,NA,NA,5.8,NA,1.8,0.4,2.2,0.091
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,30,984,14.3,0.494,0.578,NA,NA,NA,6.1,NA,1.5,0.3,1.8,0.09
1 season,NA,MNL,NBA,,5,177,15.1,0.494,0.474,NA,NA,NA,3.9,NA,0.3,0.1,0.3,0.095
