Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1955-56,25,NYK,NBA,C,60,NA,1290,149,370,0.403,167,236,0.708,443,39,211,465
1956-57,26,MNL,NBA,C,71,NA,1866,228,626,0.364,264,383,0.689,794,54,273,720
1957-58,27,DET,NBA,C,72,NA,2184,278,796,0.349,247,366,0.675,954,52,311,803
1958-59,28,DET,NBA,C,72,NA,2338,318,904,0.352,297,452,0.657,958,64,332,933
1959-60,29,DET,NBA,C,66,NA,2140,314,871,0.361,376,508,0.74,883,80,310,1004
1960-61,30,DET,NBA,C,73,NA,2044,286,706,0.405,281,400,0.703,1028,139,313,853
1961-62,31,DET,NBA,C,77,NA,1896,256,647,0.396,208,291,0.715,803,125,327,720
1962-63,32,DET,NBA,C,62,NA,913,83,255,0.325,101,137,0.737,360,55,183,267
Career,NA,,NBA,,553,NA,14671,1912,5175,0.369,1941,2773,0.7,6223,608,2260,5765
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,DET,NBA,,422,NA,11515,1535,4179,0.367,1510,2154,0.701,4986,515,1776,4580
1 season,NA,MNL,NBA,,71,NA,1866,228,626,0.364,264,383,0.689,794,54,273,720
1 season,NA,NYK,NBA,,60,NA,1290,149,370,0.403,167,236,0.708,443,39,211,465
