Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,22,PHI,NBA,PG,32,NA,359,60,145,0.414,NA,NA,NA,60,145,0.414,0.414,34,45,0.756,10,24,34,56,13,2,NA,64,154
1977-78,23,TOT,NBA,PG,15,NA,119,20,50,0.4,NA,NA,NA,20,50,0.4,0.4,13,18,0.722,1,9,10,28,9,1,12,12,53
1977-78,23,PHI,NBA,PG,4,NA,17,3,7,0.429,NA,NA,NA,3,7,0.429,0.429,2,2,1,0,1,1,6,1,0,3,0,8
1977-78,23,HOU,NBA,PG,11,NA,102,17,43,0.395,NA,NA,NA,17,43,0.395,0.395,11,16,0.688,1,8,9,22,8,1,9,12,45
1978-79,24,HOU,NBA,SG,74,NA,1486,215,425,0.506,NA,NA,NA,215,425,0.506,0.506,159,184,0.864,28,100,128,324,56,5,130,168,589
1979-80,25,HOU,NBA,PG,51,NA,1036,148,319,0.464,3,20,0.15,145,299,0.485,0.469,111,134,0.828,26,74,100,210,40,4,110,120,410
1980-81,26,HOU,NBA,SG,74,NA,1609,310,632,0.491,1,16,0.063,309,616,0.502,0.491,156,186,0.839,28,90,118,268,64,2,137,165,777
1981-82,27,HOU,NBA,SG,70,15,1315,206,450,0.458,33,86,0.384,173,364,0.475,0.494,75,106,0.708,24,80,104,227,45,3,80,161,520
1982-83,28,SAS,NBA,PG,79,9,1619,213,510,0.418,67,194,0.345,146,316,0.462,0.483,120,154,0.779,18,116,134,437,74,4,160,210,613
1983-84,29,MIL,NBA,PG,17,12,404,70,127,0.551,19,45,0.422,51,82,0.622,0.626,32,40,0.8,6,22,28,78,12,1,36,51,191
1984-85,30,MIL,NBA,PG,19,19,433,64,135,0.474,16,47,0.34,48,88,0.545,0.533,25,29,0.862,6,25,31,85,15,3,40,55,169
1988-89,34,MIL,NBA,PG,2,0,5,1,2,0.5,1,2,0.5,0,0,NA,0.75,0,0,NA,0,0,0,0,0,0,0,0,3
1989-90,35,MIL,NBA,PG,5,0,43,4,14,0.286,2,9,0.222,2,5,0.4,0.357,7,8,0.875,0,2,2,10,1,0,8,7,17
Career,NA,,NBA,,438,55,8428,1311,2809,0.467,142,419,0.339,1169,2390,0.489,0.492,732,904,0.81,147,542,689,1723,329,25,713,1013,3496
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,HOU,NBA,,280,15,5548,896,1869,0.479,37,122,0.303,859,1747,0.492,0.489,512,626,0.818,107,352,459,1051,213,15,466,626,2341
1 season,NA,SAS,NBA,,79,9,1619,213,510,0.418,67,194,0.345,146,316,0.462,0.483,120,154,0.779,18,116,134,437,74,4,160,210,613
4 seasons,NA,MIL,NBA,,43,31,885,139,278,0.5,38,103,0.369,101,175,0.577,0.568,64,77,0.831,12,49,61,173,28,4,84,113,380
2 seasons,NA,PHI,NBA,,36,NA,376,63,152,0.414,NA,NA,NA,63,152,0.414,0.414,36,47,0.766,10,25,35,62,14,2,3,64,162
