Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,21,SAS,NBA,SF,10,10,291,6.6,11.9,0.552,0,0.1,0,6.6,11.8,0.558,2.6,3.6,0.724,1.4,3.7,5.1,2.2,1.1,0.7,1.9,4.6,15.7
1990-91,22,SAS,NBA,SF,4,4,132,4.6,10.9,0.425,0,0.8,0,4.6,10.1,0.459,6.8,8.7,0.781,2.2,3.8,6,4.4,1.1,0.3,2.5,2.5,16.1
1991-92,23,SAS,NBA,SF,3,3,137,5,10.5,0.475,1.3,2.1,0.625,3.7,8.4,0.438,4.2,4.7,0.889,1.1,2.4,3.4,2.1,0.8,1.1,1.6,1.6,15.5
1992-93,24,SAS,NBA,SF,10,10,381,5.6,11.8,0.472,0.3,1.3,0.214,5.3,10.5,0.505,3.5,3.8,0.925,0.8,3.8,4.5,3.4,0.8,0.3,2.1,2.1,14.9
1994-95,26,SAS,NBA,SF,15,15,574,5.5,12.5,0.435,1.3,3.4,0.364,4.2,9.1,0.462,4.1,5.3,0.776,1.4,3.1,4.5,2.5,0.6,0.4,1.7,2.4,16.3
1995-96,27,SAS,NBA,SF,10,10,389,4.3,10.8,0.402,0.9,3.1,0.294,3.4,7.7,0.446,4.7,5.9,0.797,1,2.6,3.6,2.3,1,0.4,2.8,2.2,14.3
1998-99,30,SAS,NBA,SF,17,17,574,4.3,9.6,0.444,1.4,3.4,0.4,2.9,6.1,0.469,2.8,3.7,0.763,0.7,2.9,3.6,2.8,0.6,0.3,1.3,3.1,12.7
1999-00,31,SAS,NBA,SF,4,4,119,4.5,12.1,0.375,1.5,3.9,0.385,3,8.2,0.37,1.5,2.4,0.625,0.3,6.4,6.7,1.5,0,0.6,1.2,3.9,12.1
2000-01,32,SAS,NBA,SF,12,0,239,2.9,7.7,0.373,1.2,3.3,0.364,1.7,4.4,0.379,1.7,1.7,1,0.5,3.5,3.9,2.1,0.8,0.9,2,3.2,8.6
Career,NA,,NBA,,85,73,2836,4.9,10.9,0.445,0.9,2.6,0.356,3.9,8.3,0.473,3.5,4.4,0.801,1,3.3,4.3,2.6,0.7,0.5,1.9,2.8,14.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,SAS,NBA,,85,73,2836,4.9,10.9,0.445,0.9,2.6,0.356,3.9,8.3,0.473,3.5,4.4,0.801,1,3.3,4.3,2.6,0.7,0.5,1.9,2.8,14.2
