,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,LAL,NBA,,5,9,7,7,,,14,,,,5,13
1963-64,23,LAL,NBA,,3,10,4,5,,,18,2,,,4,10
1964-65,24,LAL,NBA,,9,19,13,20,,,18,3,,,5,29
1965-66,25,LAL,NBA,,9,17,5,6,,,15,3,,,6,21
1968-69,28,BAL,NBA,,5,7,3,5,,,11,1,,,3,13
1969-70,29,BAL,NBA,,0,,2,2,,,,,,,,2
1971-72,31,LAL,NBA,,6,13,1,2,,,12,2,,,2,12
1975-76,35,PHI,NBA,,0,0,0,0,0,0,0,0,0,0,0,0
Career,,,,,9,,13,20,,,,,,,,29
5 Seasons,,LAL,NBA,,9,19,13,20,,,18,,,,6,29
2 Seasons,,BAL,NBA,,5,,3,5,,,,,,,,13
1 Season,,PHI,NBA,,0,0,0,0,0,0,0,0,0,0,0,0
