,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,LAL,NBA,,9,,10,,,,,,,,,20
1963-64,23,LAL,NBA,,9,,7,10,,,,,,,,18
1964-65,24,LAL,NBA,,11,,13,16,,,,,,,,32
1965-66,25,LAL,NBA,,13,,7,10,,,,,,,,28
1966-67,26,BAL,NBA,,14,,10,13,,,,,,,,28
1967-68,27,BAL,NBA,,14,,12,13,,,,,,,,32
1968-69,28,BAL,NBA,,11,,6,9,,,,,,,,24
1969-70,29,BAL,NBA,,11,,7,12,,,,,,,,22
1970-71,30,POR,NBA,,13,31,9,11,,,26,9,,,6,33
1971-72,31,LAL,NBA,,11,,6,6,,,,,,,,27
1972-73,32,TOT,NBA,,15,,8,8,,,,,,,,36
1972-73,32,LAL,NBA,,6,,4,4,,,,,,,,12
1972-73,32,PHI,NBA,,15,,8,8,,,,,,,,36
1973-74,33,PHI,NBA,,10,,6,11,,,,,,,,24
1974-75,34,PHI,NBA,,12,,4,6,,,,,,,,27
1975-76,35,PHI,NBA,,6,,5,7,,,,,,,,14
Career,,,,,15,,13,,,,,,,,,36
6 Seasons,,LAL,NBA,,13,,13,,,,,,,,,32
4 Seasons,,BAL,NBA,,14,,12,13,,,,,,,,32
4 Seasons,,PHI,NBA,,15,,8,11,,,,,,,,36
1 Season,,POR,NBA,,13,31,9,11,,,26,9,,,6,33
