,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1982-83,23,GSW,NBA,,4,7,0,,4,,1,4,,,8,2,,,,6,8,
1983-84,24,GSW,NBA,,4,9,0,0,4,9,4,4,4,7,8,2,1,1,2,5,10,8.3
1984-85,25,TOT,NBA,,6,7,0,0,6,7,2,4,5,4,9,0,1,2,1,2,14,15.5
1984-85,25,NJN,NBA,,6,7,0,0,6,7,2,4,5,4,9,0,1,2,1,2,14,15.5
1984-85,25,CHI,NBA,,1,2,0,0,1,2,0,0,1,1,1,0,0,0,1,1,2,1.7
1984-85,25,MIL,NBA,,0,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0.0
1986-87,27,TOT,NBA,,4,5,0,0,4,5,4,4,4,6,7,2,1,2,2,4,9,7.8
1986-87,27,POR,NBA,,2,5,0,0,2,5,2,2,4,1,5,1,1,1,1,0,6,7.8
1986-87,27,MIL,NBA,,2,5,0,0,2,5,1,1,2,6,7,2,1,1,0,4,5,3.2
1986-87,27,NJN,NBA,,4,5,0,0,4,5,4,4,4,3,5,1,1,2,2,4,9,6.6
1987-88,28,NJN,NBA,,3,7,0,0,3,7,5,6,4,5,8,2,2,1,3,6,7,7.8
Career,,,,,6,9,0,,6,,5,6,,,9,2,,,,6,14,
2 Seasons,,GSW,NBA,,4,9,0,,4,,4,4,,,8,2,,,,6,10,
3 Seasons,,NJN,NBA,,6,7,0,0,6,7,5,6,5,5,9,2,2,2,3,6,14,15.5
1 Season,,POR,NBA,,2,5,0,0,2,5,2,2,4,1,5,1,1,1,1,0,6,7.8
2 Seasons,,MIL,NBA,,2,5,0,0,2,5,1,1,2,6,7,2,1,1,0,4,5,3.2
1 Season,,CHI,NBA,,1,2,0,0,1,2,0,0,1,1,1,0,0,0,1,1,2,1.7
