,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,24,TOT,NBA,C,41,595,.559,2.6,1.000,.775,.198,.018,.009,.000,.559,.628,.318,.000,1.000,,.774,.216,24,,,,0,0
2010-11,24,BOS,NBA,C,37,531,.598,2.4,1.000,.814,.165,.010,.010,.000,.598,.658,.313,.000,1.000,,.810,.247,24,,,,0,0
2010-11,24,CLE,NBA,C,4,64,.286,3.6,1.000,.500,.429,.071,.000,.000,.286,.286,.333,.000,,,.250,.000,0,,,,0,0
2011-12,25,CLE,NBA,C,28,333,.527,2.9,1.000,.743,.216,.027,.014,.000,.527,.636,.188,.500,.000,,.667,.189,12,,,,0,0
Career,,,NBA,,69,928,.546,2.7,1.000,.762,.205,.022,.011,.000,.546,.631,.263,.250,.500,,.733,.205,36,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,37,531,.598,2.4,1.000,.814,.165,.010,.010,.000,.598,.658,.313,.000,1.000,,.810,.247,24,,,,0,0
2 seasons,,CLE,NBA,,32,397,.489,3.0,1.000,.705,.250,.034,.011,.000,.489,.597,.227,.333,.000,,.628,.159,12,,,,0,0
