Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1985-86,23,NYK,NBA,C,50,1771,17.4,0.526,0.006,0.376,7.6,21.9,14.4,9.6,1.5,3.6,15.3,26.5,NA,0,3.1,3.1,0.084,NA,-0.1,1.2,1.1,1.4
1986-87,24,NYK,NBA,PF,63,2206,18.9,0.549,0.007,0.394,7.9,20.4,14.1,7.8,2,3.9,15.6,27.7,NA,0.6,2.8,3.5,0.075,NA,-0.2,0.6,0.4,1.3
1987-88,25,NYK,NBA,C,82,2546,21.9,0.594,0.003,0.402,10.7,20,15.2,8.3,2,6,17.1,26.8,NA,3.4,4.7,8.1,0.154,NA,1.9,2.4,4.2,4
1988-89,26,NYK,NBA,C,80,2896,22.1,0.607,0.005,0.378,8,20.7,14.2,9.5,1.9,5.6,15.1,23.6,NA,6.2,4.7,10.9,0.181,NA,2.3,2.3,4.5,4.8
1989-90,27,NYK,NBA,C,82,3165,25.8,0.599,0.002,0.387,8.5,22.4,15.7,10,1.2,5.9,12.4,29.4,NA,8.3,5.3,13.5,0.205,NA,3.7,1.8,5.5,6
1990-91,28,NYK,NBA,C,81,3104,23.7,0.561,0.004,0.379,7.4,25.7,16.8,14.1,1.3,5,13.2,31.1,NA,4.4,5.6,10,0.155,NA,2.5,1.7,4.2,4.9
1991-92,29,NYK,NBA,C,82,3150,22.8,0.563,0.004,0.335,8.4,24.9,16.8,8.5,1.4,5,10.7,27.2,NA,6.1,6.9,13,0.198,NA,2.6,2.2,4.9,5.5
1992-93,30,NYK,NBA,C,81,3003,20.8,0.546,0.005,0.359,7.3,28.4,18.2,9.2,1.3,3.6,12.9,29.7,NA,2.6,8.1,10.6,0.17,NA,1.4,2,3.4,4
1993-94,31,NYK,NBA,C,79,2972,22.9,0.551,0.009,0.387,8.5,24.9,16.9,11.3,1.6,5.1,12.9,29.8,NA,5.1,8,13.1,0.211,NA,2.5,2.7,5.2,5.5
1994-95,32,NYK,NBA,C,79,2920,21.9,0.555,0.014,0.386,6.6,27.5,17.4,14.4,1.2,4.1,13.1,30.7,NA,3.1,6.5,9.6,0.157,NA,1.8,1.8,3.5,4.1
1995-96,33,NYK,NBA,C,76,2783,20.9,0.516,0.019,0.317,6.9,26.9,17.1,11.2,1.3,5.1,11.8,31.5,NA,0.6,6.1,6.8,0.116,NA,0.3,1.3,1.6,2.5
1996-97,34,NYK,NBA,C,78,2887,21.3,0.548,0.007,0.434,7.5,26.4,17.3,10.8,1.3,5.3,14.4,29.8,NA,2.9,6.9,9.8,0.163,NA,0.9,1.9,2.8,3.5
1997-98,35,NYK,NBA,C,26,848,23.3,0.557,0.005,0.462,8.3,29.3,18.8,6.8,1,5.3,13.7,31.1,NA,1,2,3,0.168,NA,2.4,1.8,4.2,1.3
1998-99,36,NYK,NBA,C,38,1300,19.4,0.491,0.004,0.407,7,26.5,17.1,7,1.3,6,12.9,28.4,NA,0.2,3.1,3.3,0.123,NA,0.1,1.8,1.9,1.3
1999-00,37,NYK,NBA,C,62,2035,16.9,0.516,0.003,0.365,8.4,26.2,17.6,5.2,1,3.1,13.6,24.3,NA,0.9,3.9,4.8,0.113,NA,-0.6,0.4,-0.2,0.9
2000-01,38,SEA,NBA,C,79,2107,12.9,0.478,0.003,0.367,6.8,25,15.9,7,1.3,3.1,16,20.3,NA,-0.5,2.5,2,0.046,NA,-2.9,-0.2,-3.2,-0.6
2001-02,39,ORL,NBA,C,65,901,14.4,0.497,0.003,0.402,7.4,25.3,16.3,6.3,1.3,3.5,14.2,22.7,NA,0,1.3,1.4,0.073,NA,-3.2,0,-3.2,-0.3
Career,NA,,NBA,,1183,40594,21,0.553,0.006,0.379,7.9,24.7,16.4,9.8,1.4,4.8,13.6,28,NA,45,81.4,126.4,0.15,NA,1.3,1.6,2.9,50.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15 seasons,NA,NYK,NBA,,1039,37586,21.6,0.557,0.007,0.379,7.9,24.7,16.4,10,1.4,4.9,13.5,28.5,NA,45.4,77.6,123,0.157,NA,1.6,1.8,3.4,50.9
1 season,NA,SEA,NBA,,79,2107,12.9,0.478,0.003,0.367,6.8,25,15.9,7,1.3,3.1,16,20.3,NA,-0.5,2.5,2,0.046,NA,-2.9,-0.2,-3.2,-0.6
1 season,NA,ORL,NBA,,65,901,14.4,0.497,0.003,0.402,7.4,25.3,16.3,6.3,1.3,3.5,14.2,22.7,NA,0,1.3,1.4,0.073,NA,-3.2,0,-3.2,-0.3
