Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,LAL,NBA,PG,72,2,1090,124,294,0.422,45,137,0.328,79,157,0.503,0.498,27,38,0.711,22,97,119,137,44,7,73,77,320
2007-08,21,LAL,NBA,PG,82,0,1690,291,631,0.461,114,307,0.371,177,324,0.546,0.552,53,78,0.679,39,144,183,225,77,5,108,105,749
2008-09,22,LAL,NBA,PG,65,0,1192,161,412,0.391,49,146,0.336,112,266,0.421,0.45,45,77,0.584,22,95,117,155,57,10,87,105,416
2009-10,23,LAL,NBA,PG,82,0,1474,224,515,0.435,86,229,0.376,138,286,0.483,0.518,57,85,0.671,14,117,131,127,52,11,72,109,591
2010-11,24,NJN,NBA,PG,73,18,1796,255,651,0.392,109,304,0.359,146,347,0.421,0.475,82,100,0.82,24,149,173,368,62,6,139,128,701
2011-12,25,NJN,NBA,PG,39,5,831,147,315,0.467,55,125,0.44,92,190,0.484,0.554,57,63,0.905,7,54,61,129,24,2,68,49,406
2013-14,27,LAL,NBA,PG,41,5,912,151,364,0.415,70,160,0.438,81,204,0.397,0.511,44,59,0.746,20,84,104,199,38,8,95,65,416
2014-15,28,LAC,NBA,PG,36,0,529,61,158,0.386,35,97,0.361,26,61,0.426,0.497,10,11,0.909,8,34,42,67,20,5,32,52,167
2015-16,29,MEM,NBA,PG,12,10,291,42,100,0.42,16,45,0.356,26,55,0.473,0.5,10,10,1,4,21,25,37,15,2,18,22,110
2016-17,30,SAC,NBA,PG,2,0,35,4,12,0.333,4,9,0.444,0,3,0,0.5,0,0,NA,1,2,3,9,2,0,3,1,12
Career,NA,,NBA,,504,40,9840,1460,3452,0.423,583,1559,0.374,877,1893,0.463,0.507,385,521,0.739,161,797,958,1453,391,56,695,713,3888
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,LAL,NBA,,342,7,6358,951,2216,0.429,364,979,0.372,587,1237,0.475,0.511,226,337,0.671,117,537,654,843,268,41,435,461,2492
2 seasons,NA,NJN,NBA,,112,23,2627,402,966,0.416,164,429,0.382,238,537,0.443,0.501,139,163,0.853,31,203,234,497,86,8,207,177,1107
1 season,NA,LAC,NBA,,36,0,529,61,158,0.386,35,97,0.361,26,61,0.426,0.497,10,11,0.909,8,34,42,67,20,5,32,52,167
1 season,NA,MEM,NBA,,12,10,291,42,100,0.42,16,45,0.356,26,55,0.473,0.5,10,10,1,4,21,25,37,15,2,18,22,110
1 season,NA,SAC,NBA,,2,0,35,4,12,0.333,4,9,0.444,0,3,0,0.5,0,0,NA,1,2,3,9,2,0,3,1,12
